stem,ur_ref,sr_ref,ur,sr
i,imi,imu,imi,imu
i,imeɪ,imoʊ,ime,imo
i,ini,inu,ini,inu
i,ineɪ,inoʊ,ine,ino
i,ipi,ipu,ipi,ipu
i,ipeɪ,ipoʊ,ipe,ipo
i,iti,itu,iti,itu
i,iteɪ,itoʊ,ite,ito
i,iki,iku,iki,iku
i,ikeɪ,ikoʊ,ike,iko
i,ibi,ibu,ibi,ibu
i,ibeɪ,iboʊ,ibe,ibo
i,idi,idu,idi,idu
i,ideɪ,idoʊ,ide,ido
i,igi,igu,igi,igu
i,igeɪ,igoʊ,ige,igo
i,ifi,ifu,ifi,ifu
i,ifeɪ,ifoʊ,ife,ifo
i,isi,isu,isi,isu
i,iseɪ,isoʊ,ise,iso
i,ivi,ivu,ivi,ivu
i,iveɪ,ivoʊ,ive,ivo
i,izi,izu,izi,izu
i,izeɪ,izoʊ,ize,izo
i,iʃi,iʃu,iʃi,iʃu
i,iʃeɪ,iʃoʊ,iʃe,iʃo
i,iʒi,iʒu,iʒi,iʒu
i,iʒeɪ,iʒoʊ,iʒe,iʒo
i,iθi,iθu,iθi,iθu
i,iθeɪ,iθoʊ,iθe,iθo
i,iði,iðu,iði,iðu
i,iðeɪ,iðoʊ,iðe,iðo
i,ihi,ihu,ihi,ihu
i,iheɪ,ihoʊ,ihe,iho
eɪ,eɪmi,eɪmu,emi,emu
eɪ,eɪmeɪ,eɪmoʊ,eme,emo
eɪ,eɪni,eɪnu,eni,enu
eɪ,eɪneɪ,eɪnoʊ,ene,eno
eɪ,eɪpi,eɪpu,epi,epu
eɪ,eɪpeɪ,eɪpoʊ,epe,epo
eɪ,eɪti,eɪtu,eti,etu
eɪ,eɪteɪ,eɪtoʊ,ete,eto
eɪ,eɪki,eɪku,eki,eku
eɪ,eɪkeɪ,eɪkoʊ,eke,eko
eɪ,eɪbi,eɪbu,ebi,ebu
eɪ,eɪbeɪ,eɪboʊ,ebe,ebo
eɪ,eɪdi,eɪdu,edi,edu
eɪ,eɪdeɪ,eɪdoʊ,ede,edo
eɪ,eɪgi,eɪgu,egi,egu
eɪ,eɪgeɪ,eɪgoʊ,ege,ego
eɪ,eɪfi,eɪfu,efi,efu
eɪ,eɪfeɪ,eɪfoʊ,efe,efo
eɪ,eɪsi,eɪsu,esi,esu
eɪ,eɪseɪ,eɪsoʊ,ese,eso
eɪ,eɪvi,eɪvu,evi,evu
eɪ,eɪveɪ,eɪvoʊ,eve,evo
eɪ,eɪzi,eɪzu,ezi,ezu
eɪ,eɪzeɪ,eɪzoʊ,eze,ezo
eɪ,eɪʃi,eɪʃu,eʃi,eʃu
eɪ,eɪʃeɪ,eɪʃoʊ,eʃe,eʃo
eɪ,eɪʒi,eɪʒu,eʒi,eʒu
eɪ,eɪʒeɪ,eɪʒoʊ,eʒe,eʒo
eɪ,eɪθi,eɪθu,eθi,eθu
eɪ,eɪθeɪ,eɪθoʊ,eθe,eθo
eɪ,eɪði,eɪðu,eði,eðu
eɪ,eɪðeɪ,eɪðoʊ,eðe,eðo
eɪ,eɪhi,eɪhu,ehi,ehu
eɪ,eɪheɪ,eɪhoʊ,ehe,eho
i,imu,imu,imu,imu
i,imoʊ,imoʊ,imo,imo
i,inu,inu,inu,inu
i,inoʊ,inoʊ,ino,ino
i,ipu,ipu,ipu,ipu
i,ipoʊ,ipoʊ,ipo,ipo
i,itu,itu,itu,itu
i,itoʊ,itoʊ,ito,ito
i,iku,iku,iku,iku
i,ikoʊ,ikoʊ,iko,iko
i,ibu,ibu,ibu,ibu
i,iboʊ,iboʊ,ibo,ibo
