stem,ur,sr
i,imi,imi
i,imeɪ,imeɪ
i,ini,ini
i,ineɪ,ineɪ
i,ipi,ipi
i,ipeɪ,ipeɪ
i,iti,iti
i,iteɪ,iteɪ
i,iki,iki
i,ikeɪ,ikeɪ
i,ibi,ibi
i,ibeɪ,ibeɪ
i,idi,idi
i,ideɪ,ideɪ
i,igi,igi
i,igeɪ,igeɪ
i,ifi,ifi
i,ifeɪ,ifeɪ
i,isi,isi
i,iseɪ,iseɪ
i,ivi,ivi
i,iveɪ,iveɪ
i,izi,izi
i,izeɪ,izeɪ
i,iʃi,iʃi
i,iʃeɪ,iʃeɪ
i,iʒi,iʒi
i,iʒeɪ,iʒeɪ
i,iθi,iθi
i,iθeɪ,iθeɪ
i,iði,iði
i,iðeɪ,iðeɪ
i,ihi,ihi
i,iheɪ,iheɪ
eɪ,eɪmi,eɪmi
eɪ,eɪmeɪ,eɪmeɪ
eɪ,eɪni,eɪni
eɪ,eɪneɪ,eɪneɪ
eɪ,eɪpi,eɪpi
eɪ,eɪpeɪ,eɪpeɪ
eɪ,eɪti,eɪti
eɪ,eɪteɪ,eɪteɪ
eɪ,eɪki,eɪki
eɪ,eɪkeɪ,eɪkeɪ
eɪ,eɪbi,eɪbi
eɪ,eɪbeɪ,eɪbeɪ
eɪ,eɪdi,eɪdi
eɪ,eɪdeɪ,eɪdeɪ
eɪ,eɪgi,eɪgi
eɪ,eɪgeɪ,eɪgeɪ
eɪ,eɪfi,eɪfi
eɪ,eɪfeɪ,eɪfeɪ
eɪ,eɪsi,eɪsi
eɪ,eɪseɪ,eɪseɪ
eɪ,eɪvi,eɪvi
eɪ,eɪveɪ,eɪveɪ
eɪ,eɪzi,eɪzi
eɪ,eɪzeɪ,eɪzeɪ
eɪ,eɪʃi,eɪʃi
eɪ,eɪʃeɪ,eɪʃeɪ
eɪ,eɪʒi,eɪʒi
eɪ,eɪʒeɪ,eɪʒeɪ
eɪ,eɪθi,eɪθi
eɪ,eɪθeɪ,eɪθeɪ
eɪ,eɪði,eɪði
eɪ,eɪðeɪ,eɪðeɪ
eɪ,eɪhi,eɪhi
eɪ,eɪheɪ,eɪheɪ
i,imu,imi
i,imoʊ,imeɪ
i,inu,ini
i,inoʊ,ineɪ
i,ipu,ipi
i,ipoʊ,ipeɪ
i,itu,iti
i,itoʊ,iteɪ
i,iku,iki
i,ikoʊ,ikeɪ
i,ibu,ibi
i,iboʊ,ibeɪ
i,idu,idi
i,idoʊ,ideɪ
i,igu,igi
i,igoʊ,igeɪ
i,ifu,ifi
i,ifoʊ,ifeɪ
i,isu,isi
i,isoʊ,iseɪ
i,ivu,ivi
i,ivoʊ,iveɪ
i,izu,izi
i,izoʊ,izeɪ
i,iʃu,iʃi
i,iʃoʊ,iʃeɪ
i,iʒu,iʒi
i,iʒoʊ,iʒeɪ
i,iθu,iθi
i,iθoʊ,iθeɪ
i,iðu,iði
i,iðoʊ,iðeɪ
i,ihu,ihi
i,ihoʊ,iheɪ
eɪ,eɪmu,eɪmi
eɪ,eɪmoʊ,eɪmeɪ
eɪ,eɪnu,eɪni
eɪ,eɪnoʊ,eɪneɪ
eɪ,eɪpu,eɪpi
eɪ,eɪpoʊ,eɪpeɪ
eɪ,eɪtu,eɪti
eɪ,eɪtoʊ,eɪteɪ
eɪ,eɪku,eɪki
eɪ,eɪkoʊ,eɪkeɪ
eɪ,eɪbu,eɪbi
eɪ,eɪboʊ,eɪbeɪ
eɪ,eɪdu,eɪdi
eɪ,eɪdoʊ,eɪdeɪ
eɪ,eɪgu,eɪgi
eɪ,eɪgoʊ,eɪgeɪ
eɪ,eɪfu,eɪfi
eɪ,eɪfoʊ,eɪfeɪ
eɪ,eɪsu,eɪsi
eɪ,eɪsoʊ,eɪseɪ
eɪ,eɪvu,eɪvi
eɪ,eɪvoʊ,eɪveɪ
eɪ,eɪzu,eɪzi
eɪ,eɪzoʊ,eɪzeɪ
eɪ,eɪʃu,eɪʃi
eɪ,eɪʃoʊ,eɪʃeɪ
eɪ,eɪʒu,eɪʒi
eɪ,eɪʒoʊ,eɪʒeɪ
eɪ,eɪθu,eɪθi
eɪ,eɪθoʊ,eɪθeɪ
eɪ,eɪðu,eɪði
eɪ,eɪðoʊ,eɪðeɪ
eɪ,eɪhu,eɪhi
eɪ,eɪhoʊ,eɪheɪ
u,umi,umu
u,umeɪ,umoʊ
u,uni,unu
u,uneɪ,unoʊ
u,upi,upu
u,upeɪ,upoʊ
u,uti,utu
u,uteɪ,utoʊ
u,uki,uku
u,ukeɪ,ukoʊ
u,ubi,ubu
u,ubeɪ,uboʊ
u,udi,udu
u,udeɪ,udoʊ
u,ugi,ugu
u,ugeɪ,ugoʊ
u,ufi,ufu
u,ufeɪ,ufoʊ
u,usi,usu
u,useɪ,usoʊ
u,uvi,uvu
u,uveɪ,uvoʊ
u,uzi,uzu
u,uzeɪ,uzoʊ
u,uʃi,uʃu
u,uʃeɪ,uʃoʊ
u,uʒi,uʒu
u,uʒeɪ,uʒoʊ
u,uθi,uθu
u,uθeɪ,uθoʊ
u,uði,uðu
u,uðeɪ,uðoʊ
u,uhi,uhu
u,uheɪ,uhoʊ
oʊ,oʊmi,oʊmu
oʊ,oʊmeɪ,oʊmoʊ
oʊ,oʊni,oʊnu
oʊ,oʊneɪ,oʊnoʊ
oʊ,oʊpi,oʊpu
oʊ,oʊpeɪ,oʊpoʊ
oʊ,oʊti,oʊtu
oʊ,oʊteɪ,oʊtoʊ
oʊ,oʊki,oʊku
oʊ,oʊkeɪ,oʊkoʊ
oʊ,oʊbi,oʊbu
oʊ,oʊbeɪ,oʊboʊ
oʊ,oʊdi,oʊdu
oʊ,oʊdeɪ,oʊdoʊ
oʊ,oʊgi,oʊgu
oʊ,oʊgeɪ,oʊgoʊ
oʊ,oʊfi,oʊfu
oʊ,oʊfeɪ,oʊfoʊ
oʊ,oʊsi,oʊsu
oʊ,oʊseɪ,oʊsoʊ
oʊ,oʊvi,oʊvu
oʊ,oʊveɪ,oʊvoʊ
oʊ,oʊzi,oʊzu
oʊ,oʊzeɪ,oʊzoʊ
oʊ,oʊʃi,oʊʃu
oʊ,oʊʃeɪ,oʊʃoʊ
oʊ,oʊʒi,oʊʒu
oʊ,oʊʒeɪ,oʊʒoʊ
oʊ,oʊθi,oʊθu
oʊ,oʊθeɪ,oʊθoʊ
oʊ,oʊði,oʊðu
oʊ,oʊðeɪ,oʊðoʊ
oʊ,oʊhi,oʊhu
oʊ,oʊheɪ,oʊhoʊ
u,umu,umu
u,umoʊ,umoʊ
u,unu,unu
u,unoʊ,unoʊ
u,upu,upu
u,upoʊ,upoʊ
u,utu,utu
u,utoʊ,utoʊ
u,uku,uku
u,ukoʊ,ukoʊ
u,ubu,ubu
u,uboʊ,uboʊ
u,udu,udu
u,udoʊ,udoʊ
u,ugu,ugu
u,ugoʊ,ugoʊ
u,ufu,ufu
u,ufoʊ,ufoʊ
u,usu,usu
u,usoʊ,usoʊ
u,uvu,uvu
u,uvoʊ,uvoʊ
u,uzu,uzu
u,uzoʊ,uzoʊ
u,uʃu,uʃu
u,uʃoʊ,uʃoʊ
u,uʒu,uʒu
u,uʒoʊ,uʒoʊ
u,uθu,uθu
u,uθoʊ,uθoʊ
u,uðu,uðu
u,uðoʊ,uðoʊ
u,uhu,uhu
u,uhoʊ,uhoʊ
oʊ,oʊmu,oʊmu
oʊ,oʊmoʊ,oʊmoʊ
oʊ,oʊnu,oʊnu
oʊ,oʊnoʊ,oʊnoʊ
oʊ,oʊpu,oʊpu
oʊ,oʊpoʊ,oʊpoʊ
oʊ,oʊtu,oʊtu
oʊ,oʊtoʊ,oʊtoʊ
oʊ,oʊku,oʊku
oʊ,oʊkoʊ,oʊkoʊ
oʊ,oʊbu,oʊbu
oʊ,oʊboʊ,oʊboʊ
oʊ,oʊdu,oʊdu
oʊ,oʊdoʊ,oʊdoʊ
oʊ,oʊgu,oʊgu
oʊ,oʊgoʊ,oʊgoʊ
oʊ,oʊfu,oʊfu
oʊ,oʊfoʊ,oʊfoʊ
oʊ,oʊsu,oʊsu
oʊ,oʊsoʊ,oʊsoʊ
oʊ,oʊvu,oʊvu
oʊ,oʊvoʊ,oʊvoʊ
oʊ,oʊzu,oʊzu
oʊ,oʊzoʊ,oʊzoʊ
oʊ,oʊʃu,oʊʃu
oʊ,oʊʃoʊ,oʊʃoʊ
oʊ,oʊʒu,oʊʒu
oʊ,oʊʒoʊ,oʊʒoʊ
oʊ,oʊθu,oʊθu
oʊ,oʊθoʊ,oʊθoʊ
oʊ,oʊðu,oʊðu
oʊ,oʊðoʊ,oʊðoʊ
oʊ,oʊhu,oʊhu
oʊ,oʊhoʊ,oʊhoʊ
i,imɪm,imɪm
i,imɪn,imɪn
i,imɪŋ,imɪŋ
i,imɪp,imɪp
i,imɪt,imɪt
i,imɪk,imɪk
i,imɪb,imɪb
i,imɪd,imɪd
i,imɪg,imɪg
i,imɪf,imɪf
i,imɪs,imɪs
i,imɪv,imɪv
i,imɪz,imɪz
i,imɪʃ,imɪʃ
i,imɪʒ,imɪʒ
i,imɪθ,imɪθ
i,imɪð,imɪð
i,imɛm,imɛm
i,imɛn,imɛn
i,imɛŋ,imɛŋ
i,imɛp,imɛp
i,imɛt,imɛt
i,imɛk,imɛk
i,imɛb,imɛb
i,imɛd,imɛd
i,imɛg,imɛg
i,imɛf,imɛf
i,imɛs,imɛs
i,imɛv,imɛv
i,imɛz,imɛz
i,imɛʃ,imɛʃ
i,imɛʒ,imɛʒ
i,imɛθ,imɛθ
i,imɛð,imɛð
i,inɪm,inɪm
i,inɪn,inɪn
i,inɪŋ,inɪŋ
i,inɪp,inɪp
i,inɪt,inɪt
i,inɪk,inɪk
i,inɪb,inɪb
i,inɪd,inɪd
i,inɪg,inɪg
i,inɪf,inɪf
i,inɪs,inɪs
i,inɪv,inɪv
i,inɪz,inɪz
i,inɪʃ,inɪʃ
i,inɪʒ,inɪʒ
i,inɪθ,inɪθ
i,inɪð,inɪð
i,inɛm,inɛm
i,inɛn,inɛn
i,inɛŋ,inɛŋ
i,inɛp,inɛp
i,inɛt,inɛt
i,inɛk,inɛk
i,inɛb,inɛb
i,inɛd,inɛd
i,inɛg,inɛg
i,inɛf,inɛf
i,inɛs,inɛs
i,inɛv,inɛv
i,inɛz,inɛz
i,inɛʃ,inɛʃ
i,inɛʒ,inɛʒ
i,inɛθ,inɛθ
i,inɛð,inɛð
i,ipɪm,ipɪm
i,ipɪn,ipɪn
i,ipɪŋ,ipɪŋ
i,ipɪp,ipɪp
i,ipɪt,ipɪt
i,ipɪk,ipɪk
i,ipɪb,ipɪb
i,ipɪd,ipɪd
i,ipɪg,ipɪg
i,ipɪf,ipɪf
i,ipɪs,ipɪs
i,ipɪv,ipɪv
i,ipɪz,ipɪz
i,ipɪʃ,ipɪʃ
i,ipɪʒ,ipɪʒ
i,ipɪθ,ipɪθ
i,ipɪð,ipɪð
i,ipɛm,ipɛm
i,ipɛn,ipɛn
i,ipɛŋ,ipɛŋ
i,ipɛp,ipɛp
i,ipɛt,ipɛt
i,ipɛk,ipɛk
i,ipɛb,ipɛb
i,ipɛd,ipɛd
i,ipɛg,ipɛg
i,ipɛf,ipɛf
i,ipɛs,ipɛs
i,ipɛv,ipɛv
i,ipɛz,ipɛz
i,ipɛʃ,ipɛʃ
i,ipɛʒ,ipɛʒ
i,ipɛθ,ipɛθ
i,ipɛð,ipɛð
i,itɪm,itɪm
i,itɪn,itɪn
i,itɪŋ,itɪŋ
i,itɪp,itɪp
i,itɪt,itɪt
i,itɪk,itɪk
i,itɪb,itɪb
i,itɪd,itɪd
i,itɪg,itɪg
i,itɪf,itɪf
i,itɪs,itɪs
i,itɪv,itɪv
i,itɪz,itɪz
i,itɪʃ,itɪʃ
i,itɪʒ,itɪʒ
i,itɪθ,itɪθ
i,itɪð,itɪð
i,itɛm,itɛm
i,itɛn,itɛn
i,itɛŋ,itɛŋ
i,itɛp,itɛp
i,itɛt,itɛt
i,itɛk,itɛk
i,itɛb,itɛb
i,itɛd,itɛd
i,itɛg,itɛg
i,itɛf,itɛf
i,itɛs,itɛs
i,itɛv,itɛv
i,itɛz,itɛz
i,itɛʃ,itɛʃ
i,itɛʒ,itɛʒ
i,itɛθ,itɛθ
i,itɛð,itɛð
i,ikɪm,ikɪm
i,ikɪn,ikɪn
i,ikɪŋ,ikɪŋ
i,ikɪp,ikɪp
i,ikɪt,ikɪt
i,ikɪk,ikɪk
i,ikɪb,ikɪb
i,ikɪd,ikɪd
i,ikɪg,ikɪg
i,ikɪf,ikɪf
i,ikɪs,ikɪs
i,ikɪv,ikɪv
i,ikɪz,ikɪz
i,ikɪʃ,ikɪʃ
i,ikɪʒ,ikɪʒ
i,ikɪθ,ikɪθ
i,ikɪð,ikɪð
i,ikɛm,ikɛm
i,ikɛn,ikɛn
i,ikɛŋ,ikɛŋ
i,ikɛp,ikɛp
i,ikɛt,ikɛt
i,ikɛk,ikɛk
i,ikɛb,ikɛb
i,ikɛd,ikɛd
i,ikɛg,ikɛg
i,ikɛf,ikɛf
