stem,ur,sr
i,imi,imu
i,ini,inu
i,ipi,ipu
i,iti,itu
i,iki,iku
i,ibi,ibu
i,idi,idu
i,igi,igu
i,ifi,ifu
i,isi,isu
i,ivi,ivu
i,izi,izu
i,iʃi,iʃu
i,iʒi,iʒu
i,iθi,iθu
i,iði,iðu
i,ihi,ihu
i,ime,imo
i,ine,ino
i,ipe,ipo
i,ite,ito
i,ike,iko
i,ibe,ibo
i,ide,ido
i,ige,igo
i,ife,ifo
i,ise,iso
i,ive,ivo
i,ize,izo
i,iʃe,iʃo
i,iʒe,iʒo
i,iθe,iθo
i,iðe,iðo
i,ihe,iho
i,imu,imu
i,inu,inu
i,ipu,ipu
i,itu,itu
i,iku,iku
i,ibu,ibu
i,idu,idu
i,igu,igu
i,ifu,ifu
i,isu,isu
i,ivu,ivu
i,izu,izu
i,iʃu,iʃu
i,iʒu,iʒu
i,iθu,iθu
i,iðu,iðu
i,ihu,ihu
i,imo,imo
i,ino,ino
i,ipo,ipo
i,ito,ito
i,iko,iko
i,ibo,ibo
i,ido,ido
i,igo,igo
i,ifo,ifo
i,iso,iso
i,ivo,ivo
i,izo,izo
i,iʃo,iʃo
i,iʒo,iʒo
i,iθo,iθo
i,iðo,iðo
i,iho,iho
e,emi,emu
e,eni,enu
e,epi,epu
e,eti,etu
e,eki,eku
e,ebi,ebu
e,edi,edu
e,egi,egu
e,efi,efu
e,esi,esu
e,evi,evu
e,ezi,ezu
e,eʃi,eʃu
e,eʒi,eʒu
e,eθi,eθu
e,eði,eðu
e,ehi,ehu
e,eme,emo
e,ene,eno
e,epe,epo
e,ete,eto
e,eke,eko
e,ebe,ebo
e,ede,edo
e,ege,ego
e,efe,efo
e,ese,eso
e,eve,evo
e,eze,ezo
e,eʃe,eʃo
e,eʒe,eʒo
e,eθe,eθo
e,eðe,eðo
e,ehe,eho
e,emu,emu
e,enu,enu
e,epu,epu
e,etu,etu
e,eku,eku
e,ebu,ebu
e,edu,edu
e,egu,egu
e,efu,efu
e,esu,esu
e,evu,evu
e,ezu,ezu
e,eʃu,eʃu
e,eʒu,eʒu
e,eθu,eθu
e,eðu,eðu
e,ehu,ehu
e,emo,emo
e,eno,eno
e,epo,epo
e,eto,eto
e,eko,eko
e,ebo,ebo
e,edo,edo
e,ego,ego
e,efo,efo
e,eso,eso
e,evo,evo
e,ezo,ezo
e,eʃo,eʃo
e,eʒo,eʒo
e,eθo,eθo
e,eðo,eðo
e,eho,eho
u,umi,umi
u,uni,uni
u,upi,upi
u,uti,uti
u,uki,uki
u,ubi,ubi
u,udi,udi
u,ugi,ugi
u,ufi,ufi
u,usi,usi
u,uvi,uvi
u,uzi,uzi
u,uʃi,uʃi
u,uʒi,uʒi
u,uθi,uθi
u,uði,uði
u,uhi,uhi
u,ume,ume
u,une,une
u,upe,upe
u,ute,ute
u,uke,uke
u,ube,ube
u,ude,ude
u,uge,uge
u,ufe,ufe
u,use,use
u,uve,uve
u,uze,uze
u,uʃe,uʃe
u,uʒe,uʒe
u,uθe,uθe
u,uðe,uðe
u,uhe,uhe
u,umu,umi
u,unu,uni
u,upu,upi
u,utu,uti
u,uku,uki
u,ubu,ubi
u,udu,udi
u,ugu,ugi
u,ufu,ufi
u,usu,usi
u,uvu,uvi
u,uzu,uzi
u,uʃu,uʃi
u,uʒu,uʒi
u,uθu,uθi
u,uðu,uði
