stem,ur,sr
i,imi,imi
i,ini,ini
i,ipi,ipi
i,iti,iti
i,iki,iki
i,ibi,ibi
i,idi,idi
i,igi,igi
i,ifi,ifi
i,isi,isi
i,ivi,ivi
i,izi,izi
i,iʃi,iʃi
i,iʒi,iʒi
i,iθi,iθi
i,iði,iði
i,ihi,ihi
i,ime,ime
i,ine,ine
i,ipe,ipe
i,ite,ite
i,ike,ike
i,ibe,ibe
i,ide,ide
i,ige,ige
i,ife,ife
i,ise,ise
i,ive,ive
i,ize,ize
i,iʃe,iʃe
i,iʒe,iʒe
i,iθe,iθe
i,iðe,iðe
i,ihe,ihe
i,imu,imi
i,inu,ini
i,ipu,ipi
i,itu,iti
i,iku,iki
i,ibu,ibi
i,idu,idi
i,igu,igi
i,ifu,ifi
i,isu,isi
i,ivu,ivi
i,izu,izi
i,iʃu,iʃi
i,iʒu,iʒi
i,iθu,iθi
i,iðu,iði
i,ihu,ihi
i,imo,ime
i,ino,ine
i,ipo,ipe
i,ito,ite
i,iko,ike
i,ibo,ibe
i,ido,ide
i,igo,ige
i,ifo,ife
i,iso,ise
i,ivo,ive
i,izo,ize
i,iʃo,iʃe
i,iʒo,iʒe
i,iθo,iθe
i,iðo,iðe
i,iho,ihe
e,emi,emi
e,eni,eni
e,epi,epi
e,eti,eti
e,eki,eki
e,ebi,ebi
e,edi,edi
e,egi,egi
e,efi,efi
e,esi,esi
e,evi,evi
e,ezi,ezi
e,eʃi,eʃi
e,eʒi,eʒi
e,eθi,eθi
e,eði,eði
e,ehi,ehi
e,eme,eme
e,ene,ene
e,epe,epe
e,ete,ete
e,eke,eke
e,ebe,ebe
e,ede,ede
e,ege,ege
e,efe,efe
e,ese,ese
e,eve,eve
e,eze,eze
e,eʃe,eʃe
e,eʒe,eʒe
e,eθe,eθe
e,eðe,eðe
e,ehe,ehe
e,emu,emi
e,enu,eni
e,epu,epi
e,etu,eti
e,eku,eki
e,ebu,ebi
e,edu,edi
e,egu,egi
e,efu,efi
e,esu,esi
e,evu,evi
e,ezu,ezi
e,eʃu,eʃi
e,eʒu,eʒi
e,eθu,eθi
e,eðu,eði
e,ehu,ehi
e,emo,eme
e,eno,ene
e,epo,epe
e,eto,ete
e,eko,eke
e,ebo,ebe
e,edo,ede
e,ego,ege
e,efo,efe
e,eso,ese
e,evo,eve
e,ezo,eze
e,eʃo,eʃe
e,eʒo,eʒe
e,eθo,eθe
e,eðo,eðe
e,eho,ehe
u,umi,umu
u,uni,unu
u,upi,upu
u,uti,utu
u,uki,uku
u,ubi,ubu
u,udi,udu
u,ugi,ugu
u,ufi,ufu
u,usi,usu
u,uvi,uvu
u,uzi,uzu
u,uʃi,uʃu
u,uʒi,uʒu
u,uθi,uθu
u,uði,uðu
u,uhi,uhu
u,ume,umo
u,une,uno
u,upe,upo
u,ute,uto
u,uke,uko
u,ube,ubo
u,ude,udo
u,uge,ugo
u,ufe,ufo
u,use,uso
u,uve,uvo
u,uze,uzo
u,uʃe,uʃo
