ur_syll,sr_syll,ur_string,sr_string
i.mi,i.mu,imi,imu
i.ni,i.nu,ini,inu
i.pi,i.pu,ipi,ipu
i.ti,i.tu,iti,itu
i.ki,i.ku,iki,iku
i.bi,i.bu,ibi,ibu
i.di,i.du,idi,idu
i.gi,i.gu,igi,igu
i.fi,i.fu,ifi,ifu
i.si,i.su,isi,isu
i.vi,i.vu,ivi,ivu
i.zi,i.zu,izi,izu
i.ʃi,i.ʃu,iʃi,iʃu
i.ʒi,i.ʒu,iʒi,iʒu
i.θi,i.θu,iθi,iθu
i.ði,i.ðu,iði,iðu
i.hi,i.hu,ihi,ihu
i.me,i.mo,ime,imo
i.ne,i.no,ine,ino
i.pe,i.po,ipe,ipo
i.te,i.to,ite,ito
i.ke,i.ko,ike,iko
i.be,i.bo,ibe,ibo
i.de,i.do,ide,ido
i.ge,i.go,ige,igo
i.fe,i.fo,ife,ifo
i.se,i.so,ise,iso
i.ve,i.vo,ive,ivo
i.ze,i.zo,ize,izo
i.ʃe,i.ʃo,iʃe,iʃo
i.ʒe,i.ʒo,iʒe,iʒo
i.θe,i.θo,iθe,iθo
i.ðe,i.ðo,iðe,iðo
i.he,i.ho,ihe,iho
i.mu,i.mi,imu,imi
i.nu,i.ni,inu,ini
i.pu,i.pi,ipu,ipi
i.tu,i.ti,itu,iti
i.ku,i.ki,iku,iki
i.bu,i.bi,ibu,ibi
i.du,i.di,idu,idi
i.gu,i.gi,igu,igi
i.fu,i.fi,ifu,ifi
i.su,i.si,isu,isi
i.vu,i.vi,ivu,ivi
i.zu,i.zi,izu,izi
i.ʃu,i.ʃi,iʃu,iʃi
i.ʒu,i.ʒi,iʒu,iʒi
i.θu,i.θi,iθu,iθi
i.ðu,i.ði,iðu,iði
i.hu,i.hi,ihu,ihi
i.mo,i.me,imo,ime
i.no,i.ne,ino,ine
i.po,i.pe,ipo,ipe
i.to,i.te,ito,ite
i.ko,i.ke,iko,ike
i.bo,i.be,ibo,ibe
i.do,i.de,ido,ide
i.go,i.ge,igo,ige
i.fo,i.fe,ifo,ife
i.so,i.se,iso,ise
i.vo,i.ve,ivo,ive
i.zo,i.ze,izo,ize
i.ʃo,i.ʃe,iʃo,iʃe
i.ʒo,i.ʒe,iʒo,iʒe
i.θo,i.θe,iθo,iθe
i.ðo,i.ðe,iðo,iðe
i.ho,i.he,iho,ihe
e.mi,e.mu,emi,emu
e.ni,e.nu,eni,enu
e.pi,e.pu,epi,epu
e.ti,e.tu,eti,etu
e.ki,e.ku,eki,eku
e.bi,e.bu,ebi,ebu
e.di,e.du,edi,edu
e.gi,e.gu,egi,egu
e.fi,e.fu,efi,efu
e.si,e.su,esi,esu
e.vi,e.vu,evi,evu
e.zi,e.zu,ezi,ezu
e.ʃi,e.ʃu,eʃi,eʃu
e.ʒi,e.ʒu,eʒi,eʒu
e.θi,e.θu,eθi,eθu
e.ði,e.ðu,eði,eðu
e.hi,e.hu,ehi,ehu
e.me,e.mo,eme,emo
e.ne,e.no,ene,eno
e.pe,e.po,epe,epo
e.te,e.to,ete,eto
e.ke,e.ko,eke,eko
e.be,e.bo,ebe,ebo
e.de,e.do,ede,edo
e.ge,e.go,ege,ego
e.fe,e.fo,efe,efo
e.se,e.so,ese,eso
e.ve,e.vo,eve,evo
e.ze,e.zo,eze,ezo
e.ʃe,e.ʃo,eʃe,eʃo
e.ʒe,e.ʒo,eʒe,eʒo
e.θe,e.θo,eθe,eθo
e.ðe,e.ðo,eðe,eðo
e.he,e.ho,ehe,eho
e.mu,e.mi,emu,emi
e.nu,e.ni,enu,eni
e.pu,e.pi,epu,epi
e.tu,e.ti,etu,eti
e.ku,e.ki,eku,eki
e.bu,e.bi,ebu,ebi
e.du,e.di,edu,edi
e.gu,e.gi,egu,egi
e.fu,e.fi,efu,efi
e.su,e.si,esu,esi
e.vu,e.vi,evu,evi
e.zu,e.zi,ezu,ezi
e.ʃu,e.ʃi,eʃu,eʃi
e.ʒu,e.ʒi,eʒu,eʒi
e.θu,e.θi,eθu,eθi
e.ðu,e.ði,eðu,eði
e.hu,e.hi,ehu,ehi
e.mo,e.me,emo,eme
e.no,e.ne,eno,ene
e.po,e.pe,epo,epe
e.to,e.te,eto,ete
e.ko,e.ke,eko,eke
e.bo,e.be,ebo,ebe
e.do,e.de,edo,ede
e.go,e.ge,ego,ege
e.fo,e.fe,efo,efe
e.so,e.se,eso,ese
e.vo,e.ve,evo,eve
e.zo,e.ze,ezo,eze
e.ʃo,e.ʃe,eʃo,eʃe
e.ʒo,e.ʒe,eʒo,eʒe
e.θo,e.θe,eθo,eθe
e.ðo,e.ðe,eðo,eðe
e.ho,e.he,eho,ehe
u.mi,u.mu,umi,umu
u.ni,u.nu,uni,unu
u.pi,u.pu,upi,upu
u.ti,u.tu,uti,utu
u.ki,u.ku,uki,uku
u.bi,u.bu,ubi,ubu
u.di,u.du,udi,udu
u.gi,u.gu,ugi,ugu
u.fi,u.fu,ufi,ufu
u.si,u.su,usi,usu
u.vi,u.vu,uvi,uvu
u.zi,u.zu,uzi,uzu
u.ʃi,u.ʃu,uʃi,uʃu
u.ʒi,u.ʒu,uʒi,uʒu
u.θi,u.θu,uθi,uθu
u.ði,u.ðu,uði,uðu
u.hi,u.hu,uhi,uhu
u.me,u.mo,ume,umo
u.ne,u.no,une,uno
u.pe,u.po,upe,upo
u.te,u.to,ute,uto
u.ke,u.ko,uke,uko
u.be,u.bo,ube,ubo
u.de,u.do,ude,udo
u.ge,u.go,uge,ugo
u.fe,u.fo,ufe,ufo
u.se,u.so,use,uso
u.ve,u.vo,uve,uvo
u.ze,u.zo,uze,uzo
u.ʃe,u.ʃo,uʃe,uʃo
u.ʒe,u.ʒo,uʒe,uʒo
u.θe,u.θo,uθe,uθo
u.ðe,u.ðo,uðe,uðo
u.he,u.ho,uhe,uho
u.mu,u.mi,umu,umi
u.nu,u.ni,unu,uni
u.pu,u.pi,upu,upi
u.tu,u.ti,utu,uti
u.ku,u.ki,uku,uki
u.bu,u.bi,ubu,ubi
u.du,u.di,udu,udi
u.gu,u.gi,ugu,ugi
u.fu,u.fi,ufu,ufi
u.su,u.si,usu,usi
u.vu,u.vi,uvu,uvi
u.zu,u.zi,uzu,uzi
u.ʃu,u.ʃi,uʃu,uʃi
u.ʒu,u.ʒi,uʒu,uʒi
u.θu,u.θi,uθu,uθi
u.ðu,u.ði,uðu,uði
u.hu,u.hi,uhu,uhi
u.mo,u.me,umo,ume
u.no,u.ne,uno,une
u.po,u.pe,upo,upe
u.to,u.te,uto,ute
u.ko,u.ke,uko,uke
u.bo,u.be,ubo,ube
u.do,u.de,udo,ude
u.go,u.ge,ugo,uge
u.fo,u.fe,ufo,ufe
u.so,u.se,uso,use
u.vo,u.ve,uvo,uve
u.zo,u.ze,uzo,uze
u.ʃo,u.ʃe,uʃo,uʃe
u.ʒo,u.ʒe,uʒo,uʒe
u.θo,u.θe,uθo,uθe
u.ðo,u.ðe,uðo,uðe
u.ho,u.he,uho,uhe
o.mi,o.mu,omi,omu
o.ni,o.nu,oni,onu
o.pi,o.pu,opi,opu
o.ti,o.tu,oti,otu
o.ki,o.ku,oki,oku
o.bi,o.bu,obi,obu
o.di,o.du,odi,odu
o.gi,o.gu,ogi,ogu
o.fi,o.fu,ofi,ofu
o.si,o.su,osi,osu
o.vi,o.vu,ovi,ovu
o.zi,o.zu,ozi,ozu
o.ʃi,o.ʃu,oʃi,oʃu
o.ʒi,o.ʒu,oʒi,oʒu
o.θi,o.θu,oθi,oθu
o.ði,o.ðu,oði,oðu
o.hi,o.hu,ohi,ohu
o.me,o.mo,ome,omo
o.ne,o.no,one,ono
o.pe,o.po,ope,opo
o.te,o.to,ote,oto
o.ke,o.ko,oke,oko
o.be,o.bo,obe,obo
o.de,o.do,ode,odo
o.ge,o.go,oge,ogo
o.fe,o.fo,ofe,ofo
o.se,o.so,ose,oso
o.ve,o.vo,ove,ovo
o.ze,o.zo,oze,ozo
o.ʃe,o.ʃo,oʃe,oʃo
o.ʒe,o.ʒo,oʒe,oʒo
o.θe,o.θo,oθe,oθo
o.ðe,o.ðo,oðe,oðo
o.he,o.ho,ohe,oho
o.mu,o.mi,omu,omi
o.nu,o.ni,onu,oni
o.pu,o.pi,opu,opi
o.tu,o.ti,otu,oti
o.ku,o.ki,oku,oki
o.bu,o.bi,obu,obi
o.du,o.di,odu,odi
o.gu,o.gi,ogu,ogi
o.fu,o.fi,ofu,ofi
o.su,o.si,osu,osi
o.vu,o.vi,ovu,ovi
o.zu,o.zi,ozu,ozi
o.ʃu,o.ʃi,oʃu,oʃi
o.ʒu,o.ʒi,oʒu,oʒi
o.θu,o.θi,oθu,oθi
o.ðu,o.ði,oðu,oði
o.hu,o.hi,ohu,ohi
o.mo,o.me,omo,ome
o.no,o.ne,ono,one
o.po,o.pe,opo,ope
o.to,o.te,oto,ote
o.ko,o.ke,oko,oke
o.bo,o.be,obo,obe
o.do,o.de,odo,ode
o.go,o.ge,ogo,oge
o.fo,o.fe,ofo,ofe
o.so,o.se,oso,ose
o.vo,o.ve,ovo,ove
o.zo,o.ze,ozo,oze
o.ʃo,o.ʃe,oʃo,oʃe
o.ʒo,o.ʒe,oʒo,oʒe
o.θo,o.θe,oθo,oθe
o.ðo,o.ðe,oðo,oðe
o.ho,o.he,oho,ohe
i.mɪm,i.mʊm,imɪm,imʊm
i.mɪn,i.mʊn,imɪn,imʊn
i.mɪŋ,i.mʊŋ,imɪŋ,imʊŋ
i.mɪp,i.mʊp,imɪp,imʊp
i.mɪt,i.mʊt,imɪt,imʊt
i.mɪk,i.mʊk,imɪk,imʊk
i.mɪb,i.mʊb,imɪb,imʊb
i.mɪd,i.mʊd,imɪd,imʊd
i.mɪg,i.mʊg,imɪg,imʊg
i.mɪf,i.mʊf,imɪf,imʊf
i.mɪs,i.mʊs,imɪs,imʊs
i.mɪv,i.mʊv,imɪv,imʊv
i.mɪz,i.mʊz,imɪz,imʊz
i.mɪʃ,i.mʊʃ,imɪʃ,imʊʃ
i.mɪʒ,i.mʊʒ,imɪʒ,imʊʒ
i.mɪθ,i.mʊθ,imɪθ,imʊθ
i.mɪð,i.mʊð,imɪð,imʊð
i.nɪm,i.nʊm,inɪm,inʊm
i.nɪn,i.nʊn,inɪn,inʊn
i.nɪŋ,i.nʊŋ,inɪŋ,inʊŋ
i.nɪp,i.nʊp,inɪp,inʊp
i.nɪt,i.nʊt,inɪt,inʊt
i.nɪk,i.nʊk,inɪk,inʊk
i.nɪb,i.nʊb,inɪb,inʊb
i.nɪd,i.nʊd,inɪd,inʊd
i.nɪg,i.nʊg,inɪg,inʊg
i.nɪf,i.nʊf,inɪf,inʊf
i.nɪs,i.nʊs,inɪs,inʊs
i.nɪv,i.nʊv,inɪv,inʊv
i.nɪz,i.nʊz,inɪz,inʊz
i.nɪʃ,i.nʊʃ,inɪʃ,inʊʃ
i.nɪʒ,i.nʊʒ,inɪʒ,inʊʒ
i.nɪθ,i.nʊθ,inɪθ,inʊθ
i.nɪð,i.nʊð,inɪð,inʊð
i.pɪm,i.pʊm,ipɪm,ipʊm
i.pɪn,i.pʊn,ipɪn,ipʊn
i.pɪŋ,i.pʊŋ,ipɪŋ,ipʊŋ
i.pɪp,i.pʊp,ipɪp,ipʊp
i.pɪt,i.pʊt,ipɪt,ipʊt
i.pɪk,i.pʊk,ipɪk,ipʊk
i.pɪb,i.pʊb,ipɪb,ipʊb
i.pɪd,i.pʊd,ipɪd,ipʊd
i.pɪg,i.pʊg,ipɪg,ipʊg
i.pɪf,i.pʊf,ipɪf,ipʊf
i.pɪs,i.pʊs,ipɪs,ipʊs
i.pɪv,i.pʊv,ipɪv,ipʊv
i.pɪz,i.pʊz,ipɪz,ipʊz
i.pɪʃ,i.pʊʃ,ipɪʃ,ipʊʃ
i.pɪʒ,i.pʊʒ,ipɪʒ,ipʊʒ
i.pɪθ,i.pʊθ,ipɪθ,ipʊθ
