stem,ur_ref,sr_ref,ur,sr
i,imeɪ,imoʊ,ime,imo
i,ineɪ,inoʊ,ine,ino
i,ipeɪ,ipoʊ,ipe,ipo
i,iteɪ,itoʊ,ite,ito
i,ikeɪ,ikoʊ,ike,iko
i,ibeɪ,iboʊ,ibe,ibo
i,ideɪ,idoʊ,ide,ido
i,igeɪ,igoʊ,ige,igo
i,ifeɪ,ifoʊ,ife,ifo
i,iseɪ,isoʊ,ise,iso
i,iveɪ,ivoʊ,ive,ivo
i,izeɪ,izoʊ,ize,izo
i,iʃeɪ,iʃoʊ,iʃe,iʃo
i,iʒeɪ,iʒoʊ,iʒe,iʒo
i,iθeɪ,iθoʊ,iθe,iθo
i,iðeɪ,iðoʊ,iðe,iðo
i,iheɪ,ihoʊ,ihe,iho
i,imoʊ,imoʊ,imo,imo
i,inoʊ,inoʊ,ino,ino
i,ipoʊ,ipoʊ,ipo,ipo
i,itoʊ,itoʊ,ito,ito
i,ikoʊ,ikoʊ,iko,iko
i,iboʊ,iboʊ,ibo,ibo
i,idoʊ,idoʊ,ido,ido
i,igoʊ,igoʊ,igo,igo
i,ifoʊ,ifoʊ,ifo,ifo
i,isoʊ,isoʊ,iso,iso
i,ivoʊ,ivoʊ,ivo,ivo
i,izoʊ,izoʊ,izo,izo
i,iʃoʊ,iʃoʊ,iʃo,iʃo
i,iʒoʊ,iʒoʊ,iʒo,iʒo
i,iθoʊ,iθoʊ,iθo,iθo
i,iðoʊ,iðoʊ,iðo,iðo
i,ihoʊ,ihoʊ,iho,iho
eɪ,eɪmi,eɪmu,emi,emu
eɪ,eɪni,eɪnu,eni,enu
eɪ,eɪpi,eɪpu,epi,epu
eɪ,eɪti,eɪtu,eti,etu
eɪ,eɪki,eɪku,eki,eku
eɪ,eɪbi,eɪbu,ebi,ebu
eɪ,eɪdi,eɪdu,edi,edu
eɪ,eɪgi,eɪgu,egi,egu
eɪ,eɪfi,eɪfu,efi,efu
eɪ,eɪsi,eɪsu,esi,esu
eɪ,eɪvi,eɪvu,evi,evu
eɪ,eɪzi,eɪzu,ezi,ezu
eɪ,eɪʃi,eɪʃu,eʃi,eʃu
eɪ,eɪʒi,eɪʒu,eʒi,eʒu
eɪ,eɪθi,eɪθu,eθi,eθu
eɪ,eɪði,eɪðu,eði,eðu
eɪ,eɪhi,eɪhu,ehi,ehu
eɪ,eɪmu,eɪmu,emu,emu
eɪ,eɪnu,eɪnu,enu,enu
eɪ,eɪpu,eɪpu,epu,epu
eɪ,eɪtu,eɪtu,etu,etu
eɪ,eɪku,eɪku,eku,eku
eɪ,eɪbu,eɪbu,ebu,ebu
eɪ,eɪdu,eɪdu,edu,edu
eɪ,eɪgu,eɪgu,egu,egu
eɪ,eɪfu,eɪfu,efu,efu
eɪ,eɪsu,eɪsu,esu,esu
