stem,ur_ref,sr_ref,ur,sr
i,imeɪ,imeɪ,ime,ime
i,ineɪ,ineɪ,ine,ine
i,ipeɪ,ipeɪ,ipe,ipe
i,iteɪ,iteɪ,ite,ite
i,ikeɪ,ikeɪ,ike,ike
i,ibeɪ,ibeɪ,ibe,ibe
i,ideɪ,ideɪ,ide,ide
i,igeɪ,igeɪ,ige,ige
i,ifeɪ,ifeɪ,ife,ife
i,iseɪ,iseɪ,ise,ise
i,iveɪ,iveɪ,ive,ive
i,izeɪ,izeɪ,ize,ize
i,iʃeɪ,iʃeɪ,iʃe,iʃe
i,iʒeɪ,iʒeɪ,iʒe,iʒe
i,iθeɪ,iθeɪ,iθe,iθe
i,iðeɪ,iðeɪ,iðe,iðe
i,iheɪ,iheɪ,ihe,ihe
i,imoʊ,imeɪ,imo,ime
i,inoʊ,ineɪ,ino,ine
i,ipoʊ,ipeɪ,ipo,ipe
i,itoʊ,iteɪ,ito,ite
i,ikoʊ,ikeɪ,iko,ike
i,iboʊ,ibeɪ,ibo,ibe
i,idoʊ,ideɪ,ido,ide
i,igoʊ,igeɪ,igo,ige
i,ifoʊ,ifeɪ,ifo,ife
i,isoʊ,iseɪ,iso,ise
i,ivoʊ,iveɪ,ivo,ive
i,izoʊ,izeɪ,izo,ize
i,iʃoʊ,iʃeɪ,iʃo,iʃe
i,iʒoʊ,iʒeɪ,iʒo,iʒe
i,iθoʊ,iθeɪ,iθo,iθe
i,iðoʊ,iðeɪ,iðo,iðe
i,ihoʊ,iheɪ,iho,ihe
eɪ,eɪmi,eɪmi,emi,emi
eɪ,eɪni,eɪni,eni,eni
eɪ,eɪpi,eɪpi,epi,epi
eɪ,eɪti,eɪti,eti,eti
eɪ,eɪki,eɪki,eki,eki
eɪ,eɪbi,eɪbi,ebi,ebi
eɪ,eɪdi,eɪdi,edi,edi
eɪ,eɪgi,eɪgi,egi,egi
eɪ,eɪfi,eɪfi,efi,efi
eɪ,eɪsi,eɪsi,esi,esi
eɪ,eɪvi,eɪvi,evi,evi
eɪ,eɪzi,eɪzi,ezi,ezi
eɪ,eɪʃi,eɪʃi,eʃi,eʃi
eɪ,eɪʒi,eɪʒi,eʒi,eʒi
eɪ,eɪθi,eɪθi,eθi,eθi
eɪ,eɪði,eɪði,eði,eði
eɪ,eɪhi,eɪhi,ehi,ehi
eɪ,eɪmu,eɪmi,emu,emi
eɪ,eɪnu,eɪni,enu,eni
eɪ,eɪpu,eɪpi,epu,epi
eɪ,eɪtu,eɪti,etu,eti
eɪ,eɪku,eɪki,eku,eki
eɪ,eɪbu,eɪbi,ebu,ebi
