ur_syll,sr_syll,ur_string,sr_string
i.mi,u.mi,imi,umi
i.ni,u.ni,ini,uni
i.pi,u.pi,ipi,upi
i.ti,u.ti,iti,uti
i.ki,u.ki,iki,uki
i.bi,u.bi,ibi,ubi
i.di,u.di,idi,udi
i.gi,u.gi,igi,ugi
i.fi,u.fi,ifi,ufi
i.si,u.si,isi,usi
i.vi,u.vi,ivi,uvi
i.zi,u.zi,izi,uzi
i.ʃi,u.ʃi,iʃi,uʃi
i.ʒi,u.ʒi,iʒi,uʒi
i.θi,u.θi,iθi,uθi
i.ði,u.ði,iði,uði
i.hi,u.hi,ihi,uhi
i.me,u.me,ime,ume
i.ne,u.ne,ine,une
i.pe,u.pe,ipe,upe
i.te,u.te,ite,ute
i.ke,u.ke,ike,uke
i.be,u.be,ibe,ube
i.de,u.de,ide,ude
i.ge,u.ge,ige,uge
i.fe,u.fe,ife,ufe
i.se,u.se,ise,use
i.ve,u.ve,ive,uve
i.ze,u.ze,ize,uze
i.ʃe,u.ʃe,iʃe,uʃe
i.ʒe,u.ʒe,iʒe,uʒe
i.θe,u.θe,iθe,uθe
i.ðe,u.ðe,iðe,uðe
i.he,u.he,ihe,uhe
i.mu,u.mu,imu,umu
i.nu,u.nu,inu,unu
i.pu,u.pu,ipu,upu
i.tu,u.tu,itu,utu
i.ku,u.ku,iku,uku
i.bu,u.bu,ibu,ubu
i.du,u.du,idu,udu
i.gu,u.gu,igu,ugu
i.fu,u.fu,ifu,ufu
i.su,u.su,isu,usu
i.vu,u.vu,ivu,uvu
i.zu,u.zu,izu,uzu
i.ʃu,u.ʃu,iʃu,uʃu
i.ʒu,u.ʒu,iʒu,uʒu
i.θu,u.θu,iθu,uθu
i.ðu,u.ðu,iðu,uðu
i.hu,u.hu,ihu,uhu
i.mo,u.mo,imo,umo
i.no,u.no,ino,uno
i.po,u.po,ipo,upo
i.to,u.to,ito,uto
i.ko,u.ko,iko,uko
i.bo,u.bo,ibo,ubo
i.do,u.do,ido,udo
i.go,u.go,igo,ugo
i.fo,u.fo,ifo,ufo
i.so,u.so,iso,uso
i.vo,u.vo,ivo,uvo
i.zo,u.zo,izo,uzo
i.ʃo,u.ʃo,iʃo,uʃo
i.ʒo,u.ʒo,iʒo,uʒo
i.θo,u.θo,iθo,uθo
i.ðo,u.ðo,iðo,uðo
i.ho,u.ho,iho,uho
e.mi,o.mi,emi,omi
e.ni,o.ni,eni,oni
e.pi,o.pi,epi,opi
e.ti,o.ti,eti,oti
e.ki,o.ki,eki,oki
e.bi,o.bi,ebi,obi
e.di,o.di,edi,odi
e.gi,o.gi,egi,ogi
e.fi,o.fi,efi,ofi
e.si,o.si,esi,osi
e.vi,o.vi,evi,ovi
e.zi,o.zi,ezi,ozi
e.ʃi,o.ʃi,eʃi,oʃi
e.ʒi,o.ʒi,eʒi,oʒi
e.θi,o.θi,eθi,oθi
e.ði,o.ði,eði,oði
e.hi,o.hi,ehi,ohi
e.me,o.me,eme,ome
e.ne,o.ne,ene,one
e.pe,o.pe,epe,ope
e.te,o.te,ete,ote
e.ke,o.ke,eke,oke
e.be,o.be,ebe,obe
e.de,o.de,ede,ode
e.ge,o.ge,ege,oge
e.fe,o.fe,efe,ofe
e.se,o.se,ese,ose
e.ve,o.ve,eve,ove
e.ze,o.ze,eze,oze
e.ʃe,o.ʃe,eʃe,oʃe
e.ʒe,o.ʒe,eʒe,oʒe
e.θe,o.θe,eθe,oθe
e.ðe,o.ðe,eðe,oðe
e.he,o.he,ehe,ohe
e.mu,o.mu,emu,omu
e.nu,o.nu,enu,onu
e.pu,o.pu,epu,opu
e.tu,o.tu,etu,otu
e.ku,o.ku,eku,oku
e.bu,o.bu,ebu,obu
e.du,o.du,edu,odu
e.gu,o.gu,egu,ogu
e.fu,o.fu,efu,ofu
e.su,o.su,esu,osu
e.vu,o.vu,evu,ovu
e.zu,o.zu,ezu,ozu
e.ʃu,o.ʃu,eʃu,oʃu
e.ʒu,o.ʒu,eʒu,oʒu
e.θu,o.θu,eθu,oθu
e.ðu,o.ðu,eðu,oðu
e.hu,o.hu,ehu,ohu
e.mo,o.mo,emo,omo
e.no,o.no,eno,ono
e.po,o.po,epo,opo
e.to,o.to,eto,oto
e.ko,o.ko,eko,oko
e.bo,o.bo,ebo,obo
e.do,o.do,edo,odo
e.go,o.go,ego,ogo
e.fo,o.fo,efo,ofo
e.so,o.so,eso,oso
e.vo,o.vo,evo,ovo
e.zo,o.zo,ezo,ozo
e.ʃo,o.ʃo,eʃo,oʃo
e.ʒo,o.ʒo,eʒo,oʒo
e.θo,o.θo,eθo,oθo
e.ðo,o.ðo,eðo,oðo
e.ho,o.ho,eho,oho
u.mi,i.mi,umi,imi
u.ni,i.ni,uni,ini
u.pi,i.pi,upi,ipi
u.ti,i.ti,uti,iti
u.ki,i.ki,uki,iki
u.bi,i.bi,ubi,ibi
