ur_syll,sr_syll,ur_string,sr_string
i.mi,i.mi,imi,imi
i.ni,i.ni,ini,ini
i.pi,i.pi,ipi,ipi
i.ti,i.ti,iti,iti
i.ki,i.ki,iki,iki
i.bi,i.bi,ibi,ibi
i.di,i.di,idi,idi
i.gi,i.gi,igi,igi
i.fi,i.fi,ifi,ifi
i.si,i.si,isi,isi
i.vi,i.vi,ivi,ivi
i.zi,i.zi,izi,izi
i.ʃi,i.ʃi,iʃi,iʃi
i.ʒi,i.ʒi,iʒi,iʒi
i.θi,i.θi,iθi,iθi
i.ði,i.ði,iði,iði
i.hi,i.hi,ihi,ihi
i.me,i.me,ime,ime
i.ne,i.ne,ine,ine
i.pe,i.pe,ipe,ipe
i.te,i.te,ite,ite
i.ke,i.ke,ike,ike
i.be,i.be,ibe,ibe
i.de,i.de,ide,ide
i.ge,i.ge,ige,ige
i.fe,i.fe,ife,ife
i.se,i.se,ise,ise
i.ve,i.ve,ive,ive
i.ze,i.ze,ize,ize
i.ʃe,i.ʃe,iʃe,iʃe
i.ʒe,i.ʒe,iʒe,iʒe
i.θe,i.θe,iθe,iθe
i.ðe,i.ðe,iðe,iðe
i.he,i.he,ihe,ihe
i.mu,i.mu,imu,imu
i.nu,i.nu,inu,inu
i.pu,i.pu,ipu,ipu
i.tu,i.tu,itu,itu
i.ku,i.ku,iku,iku
i.bu,i.bu,ibu,ibu
i.du,i.du,idu,idu
i.gu,i.gu,igu,igu
i.fu,i.fu,ifu,ifu
i.su,i.su,isu,isu
i.vu,i.vu,ivu,ivu
i.zu,i.zu,izu,izu
i.ʃu,i.ʃu,iʃu,iʃu
i.ʒu,i.ʒu,iʒu,iʒu
i.θu,i.θu,iθu,iθu
i.ðu,i.ðu,iðu,iðu
i.hu,i.hu,ihu,ihu
i.mo,i.mo,imo,imo
i.no,i.no,ino,ino
i.po,i.po,ipo,ipo
i.to,i.to,ito,ito
i.ko,i.ko,iko,iko
i.bo,i.bo,ibo,ibo
i.do,i.do,ido,ido
i.go,i.go,igo,igo
i.fo,i.fo,ifo,ifo
i.so,i.so,iso,iso
i.vo,i.vo,ivo,ivo
i.zo,i.zo,izo,izo
i.ʃo,i.ʃo,iʃo,iʃo
i.ʒo,i.ʒo,iʒo,iʒo
i.θo,i.θo,iθo,iθo
i.ðo,i.ðo,iðo,iðo
i.ho,i.ho,iho,iho
e.mi,e.mi,emi,emi
e.ni,e.ni,eni,eni
e.pi,e.pi,epi,epi
e.ti,e.ti,eti,eti
e.ki,e.ki,eki,eki
e.bi,e.bi,ebi,ebi
e.di,e.di,edi,edi
e.gi,e.gi,egi,egi
e.fi,e.fi,efi,efi
e.si,e.si,esi,esi
e.vi,e.vi,evi,evi
e.zi,e.zi,ezi,ezi
e.ʃi,e.ʃi,eʃi,eʃi
e.ʒi,e.ʒi,eʒi,eʒi
e.θi,e.θi,eθi,eθi
e.ði,e.ði,eði,eði
e.hi,e.hi,ehi,ehi
