stem,ur_ref,sr_ref,ur,sr
i,imi,imu,imi,imu
i,ini,inu,ini,inu
i,ipi,ipu,ipi,ipu
i,iti,itu,iti,itu
i,iki,iku,iki,iku
i,ibi,ibu,ibi,ibu
i,idi,idu,idi,idu
i,igi,igu,igi,igu
i,ifi,ifu,ifi,ifu
i,isi,isu,isi,isu
i,ivi,ivu,ivi,ivu
i,izi,izu,izi,izu
i,iʃi,iʃu,iʃi,iʃu
i,iʒi,iʒu,iʒi,iʒu
i,iθi,iθu,iθi,iθu
i,iði,iðu,iði,iðu
i,ihi,ihu,ihi,ihu
i,imeɪ,imoʊ,ime,imo
i,ineɪ,inoʊ,ine,ino
i,ipeɪ,ipoʊ,ipe,ipo
i,iteɪ,itoʊ,ite,ito
i,ikeɪ,ikoʊ,ike,iko
i,ibeɪ,iboʊ,ibe,ibo
i,ideɪ,idoʊ,ide,ido
i,igeɪ,igoʊ,ige,igo
i,ifeɪ,ifoʊ,ife,ifo
i,iseɪ,isoʊ,ise,iso
i,iveɪ,ivoʊ,ive,ivo
i,izeɪ,izoʊ,ize,izo
i,iʃeɪ,iʃoʊ,iʃe,iʃo
i,iʒeɪ,iʒoʊ,iʒe,iʒo
i,iθeɪ,iθoʊ,iθe,iθo
i,iðeɪ,iðoʊ,iðe,iðo
i,iheɪ,ihoʊ,ihe,iho
i,imu,imu,imu,imu
i,inu,inu,inu,inu
i,ipu,ipu,ipu,ipu
i,itu,itu,itu,itu
i,iku,iku,iku,iku
i,ibu,ibu,ibu,ibu
i,idu,idu,idu,idu
i,igu,igu,igu,igu
i,ifu,ifu,ifu,ifu
i,isu,isu,isu,isu
i,ivu,ivu,ivu,ivu
i,izu,izu,izu,izu
i,iʃu,iʃu,iʃu,iʃu
i,iʒu,iʒu,iʒu,iʒu
i,iθu,iθu,iθu,iθu
i,iðu,iðu,iðu,iðu
i,ihu,ihu,ihu,ihu
i,imoʊ,imoʊ,imo,imo
i,inoʊ,inoʊ,ino,ino
i,ipoʊ,ipoʊ,ipo,ipo
i,itoʊ,itoʊ,ito,ito
i,ikoʊ,ikoʊ,iko,iko
i,iboʊ,iboʊ,ibo,ibo
i,idoʊ,idoʊ,ido,ido
i,igoʊ,igoʊ,igo,igo
i,ifoʊ,ifoʊ,ifo,ifo
i,isoʊ,isoʊ,iso,iso
i,ivoʊ,ivoʊ,ivo,ivo
i,izoʊ,izoʊ,izo,izo
i,iʃoʊ,iʃoʊ,iʃo,iʃo
i,iʒoʊ,iʒoʊ,iʒo,iʒo
i,iθoʊ,iθoʊ,iθo,iθo
i,iðoʊ,iðoʊ,iðo,iðo
i,ihoʊ,ihoʊ,iho,iho
eɪ,eɪmi,eɪmu,emi,emu
eɪ,eɪni,eɪnu,eni,enu
eɪ,eɪpi,eɪpu,epi,epu
eɪ,eɪti,eɪtu,eti,etu
eɪ,eɪki,eɪku,eki,eku
eɪ,eɪbi,eɪbu,ebi,ebu
eɪ,eɪdi,eɪdu,edi,edu
eɪ,eɪgi,eɪgu,egi,egu
eɪ,eɪfi,eɪfu,efi,efu
eɪ,eɪsi,eɪsu,esi,esu
eɪ,eɪvi,eɪvu,evi,evu
eɪ,eɪzi,eɪzu,ezi,ezu
eɪ,eɪʃi,eɪʃu,eʃi,eʃu
eɪ,eɪʒi,eɪʒu,eʒi,eʒu
eɪ,eɪθi,eɪθu,eθi,eθu
eɪ,eɪði,eɪðu,eði,eðu
eɪ,eɪhi,eɪhu,ehi,ehu
eɪ,eɪmeɪ,eɪmoʊ,eme,emo
eɪ,eɪneɪ,eɪnoʊ,ene,eno
eɪ,eɪpeɪ,eɪpoʊ,epe,epo
eɪ,eɪteɪ,eɪtoʊ,ete,eto
eɪ,eɪkeɪ,eɪkoʊ,eke,eko
eɪ,eɪbeɪ,eɪboʊ,ebe,ebo
eɪ,eɪdeɪ,eɪdoʊ,ede,edo
eɪ,eɪgeɪ,eɪgoʊ,ege,ego
eɪ,eɪfeɪ,eɪfoʊ,efe,efo
eɪ,eɪseɪ,eɪsoʊ,ese,eso
eɪ,eɪveɪ,eɪvoʊ,eve,evo
eɪ,eɪzeɪ,eɪzoʊ,eze,ezo
eɪ,eɪʃeɪ,eɪʃoʊ,eʃe,eʃo
eɪ,eɪʒeɪ,eɪʒoʊ,eʒe,eʒo
eɪ,eɪθeɪ,eɪθoʊ,eθe,eθo
eɪ,eɪðeɪ,eɪðoʊ,eðe,eðo
eɪ,eɪheɪ,eɪhoʊ,ehe,eho
eɪ,eɪmu,eɪmu,emu,emu
eɪ,eɪnu,eɪnu,enu,enu
eɪ,eɪpu,eɪpu,epu,epu
eɪ,eɪtu,eɪtu,etu,etu
eɪ,eɪku,eɪku,eku,eku
eɪ,eɪbu,eɪbu,ebu,ebu
eɪ,eɪdu,eɪdu,edu,edu
eɪ,eɪgu,eɪgu,egu,egu
eɪ,eɪfu,eɪfu,efu,efu
eɪ,eɪsu,eɪsu,esu,esu
eɪ,eɪvu,eɪvu,evu,evu
eɪ,eɪzu,eɪzu,ezu,ezu
eɪ,eɪʃu,eɪʃu,eʃu,eʃu
eɪ,eɪʒu,eɪʒu,eʒu,eʒu
eɪ,eɪθu,eɪθu,eθu,eθu
eɪ,eɪðu,eɪðu,eðu,eðu
eɪ,eɪhu,eɪhu,ehu,ehu
eɪ,eɪmoʊ,eɪmoʊ,emo,emo
eɪ,eɪnoʊ,eɪnoʊ,eno,eno
eɪ,eɪpoʊ,eɪpoʊ,epo,epo
eɪ,eɪtoʊ,eɪtoʊ,eto,eto
eɪ,eɪkoʊ,eɪkoʊ,eko,eko
eɪ,eɪboʊ,eɪboʊ,ebo,ebo
eɪ,eɪdoʊ,eɪdoʊ,edo,edo
eɪ,eɪgoʊ,eɪgoʊ,ego,ego
eɪ,eɪfoʊ,eɪfoʊ,efo,efo
eɪ,eɪsoʊ,eɪsoʊ,eso,eso
eɪ,eɪvoʊ,eɪvoʊ,evo,evo
eɪ,eɪzoʊ,eɪzoʊ,ezo,ezo
eɪ,eɪʃoʊ,eɪʃoʊ,eʃo,eʃo
eɪ,eɪʒoʊ,eɪʒoʊ,eʒo,eʒo
eɪ,eɪθoʊ,eɪθoʊ,eθo,eθo
eɪ,eɪðoʊ,eɪðoʊ,eðo,eðo
eɪ,eɪhoʊ,eɪhoʊ,eho,eho
u,umi,umi,umi,umi
u,uni,uni,uni,uni
u,upi,upi,upi,upi
u,uti,uti,uti,uti
u,uki,uki,uki,uki
u,ubi,ubi,ubi,ubi
u,udi,udi,udi,udi
u,ugi,ugi,ugi,ugi
u,ufi,ufi,ufi,ufi
u,usi,usi,usi,usi
u,uvi,uvi,uvi,uvi
u,uzi,uzi,uzi,uzi
u,uʃi,uʃi,uʃi,uʃi
u,uʒi,uʒi,uʒi,uʒi
u,uθi,uθi,uθi,uθi
u,uði,uði,uði,uði
u,uhi,uhi,uhi,uhi
u,umeɪ,umeɪ,ume,ume
u,uneɪ,uneɪ,une,une
u,upeɪ,upeɪ,upe,upe
u,uteɪ,uteɪ,ute,ute
u,ukeɪ,ukeɪ,uke,uke
u,ubeɪ,ubeɪ,ube,ube
u,udeɪ,udeɪ,ude,ude
u,ugeɪ,ugeɪ,uge,uge
u,ufeɪ,ufeɪ,ufe,ufe
u,useɪ,useɪ,use,use
u,uveɪ,uveɪ,uve,uve
u,uzeɪ,uzeɪ,uze,uze
u,uʃeɪ,uʃeɪ,uʃe,uʃe
u,uʒeɪ,uʒeɪ,uʒe,uʒe
u,uθeɪ,uθeɪ,uθe,uθe
u,uðeɪ,uðeɪ,uðe,uðe
u,uheɪ,uheɪ,uhe,uhe
u,umu,umi,umu,umi
u,unu,uni,unu,uni
u,upu,upi,upu,upi
u,utu,uti,utu,uti
u,uku,uki,uku,uki
u,ubu,ubi,ubu,ubi
u,udu,udi,udu,udi
u,ugu,ugi,ugu,ugi
u,ufu,ufi,ufu,ufi
u,usu,usi,usu,usi
u,uvu,uvi,uvu,uvi
u,uzu,uzi,uzu,uzi
u,uʃu,uʃi,uʃu,uʃi
u,uʒu,uʒi,uʒu,uʒi
u,uθu,uθi,uθu,uθi
u,uðu,uði,uðu,uði
u,uhu,uhi,uhu,uhi
u,umoʊ,umeɪ,umo,ume
u,unoʊ,uneɪ,uno,une
u,upoʊ,upeɪ,upo,upe
u,utoʊ,uteɪ,uto,ute
u,ukoʊ,ukeɪ,uko,uke
u,uboʊ,ubeɪ,ubo,ube
u,udoʊ,udeɪ,udo,ude
u,ugoʊ,ugeɪ,ugo,uge
u,ufoʊ,ufeɪ,ufo,ufe
u,usoʊ,useɪ,uso,use
u,uvoʊ,uveɪ,uvo,uve
u,uzoʊ,uzeɪ,uzo,uze
u,uʃoʊ,uʃeɪ,uʃo,uʃe
u,uʒoʊ,uʒeɪ,uʒo,uʒe
u,uθoʊ,uθeɪ,uθo,uθe
u,uðoʊ,uðeɪ,uðo,uðe
u,uhoʊ,uheɪ,uho,uhe
oʊ,oʊmi,oʊmi,omi,omi
oʊ,oʊni,oʊni,oni,oni
oʊ,oʊpi,oʊpi,opi,opi
oʊ,oʊti,oʊti,oti,oti
oʊ,oʊki,oʊki,oki,oki
oʊ,oʊbi,oʊbi,obi,obi
oʊ,oʊdi,oʊdi,odi,odi
oʊ,oʊgi,oʊgi,ogi,ogi
oʊ,oʊfi,oʊfi,ofi,ofi
oʊ,oʊsi,oʊsi,osi,osi
oʊ,oʊvi,oʊvi,ovi,ovi
oʊ,oʊzi,oʊzi,ozi,ozi
oʊ,oʊʃi,oʊʃi,oʃi,oʃi
oʊ,oʊʒi,oʊʒi,oʒi,oʒi
oʊ,oʊθi,oʊθi,oθi,oθi
oʊ,oʊði,oʊði,oði,oði
oʊ,oʊhi,oʊhi,ohi,ohi
oʊ,oʊmeɪ,oʊmeɪ,ome,ome
oʊ,oʊneɪ,oʊneɪ,one,one
oʊ,oʊpeɪ,oʊpeɪ,ope,ope
oʊ,oʊteɪ,oʊteɪ,ote,ote
oʊ,oʊkeɪ,oʊkeɪ,oke,oke
oʊ,oʊbeɪ,oʊbeɪ,obe,obe
oʊ,oʊdeɪ,oʊdeɪ,ode,ode
oʊ,oʊgeɪ,oʊgeɪ,oge,oge
oʊ,oʊfeɪ,oʊfeɪ,ofe,ofe
oʊ,oʊseɪ,oʊseɪ,ose,ose
oʊ,oʊveɪ,oʊveɪ,ove,ove
oʊ,oʊzeɪ,oʊzeɪ,oze,oze
oʊ,oʊʃeɪ,oʊʃeɪ,oʃe,oʃe
oʊ,oʊʒeɪ,oʊʒeɪ,oʒe,oʒe
oʊ,oʊθeɪ,oʊθeɪ,oθe,oθe
oʊ,oʊðeɪ,oʊðeɪ,oðe,oðe
oʊ,oʊheɪ,oʊheɪ,ohe,ohe
oʊ,oʊmu,oʊmi,omu,omi
oʊ,oʊnu,oʊni,onu,oni
oʊ,oʊpu,oʊpi,opu,opi
oʊ,oʊtu,oʊti,otu,oti
oʊ,oʊku,oʊki,oku,oki
oʊ,oʊbu,oʊbi,obu,obi
oʊ,oʊdu,oʊdi,odu,odi
oʊ,oʊgu,oʊgi,ogu,ogi
oʊ,oʊfu,oʊfi,ofu,ofi
oʊ,oʊsu,oʊsi,osu,osi
oʊ,oʊvu,oʊvi,ovu,ovi
oʊ,oʊzu,oʊzi,ozu,ozi
oʊ,oʊʃu,oʊʃi,oʃu,oʃi
oʊ,oʊʒu,oʊʒi,oʒu,oʒi
oʊ,oʊθu,oʊθi,oθu,oθi
oʊ,oʊðu,oʊði,oðu,oði
oʊ,oʊhu,oʊhi,ohu,ohi
oʊ,oʊmoʊ,oʊmeɪ,omo,ome
oʊ,oʊnoʊ,oʊneɪ,ono,one
oʊ,oʊpoʊ,oʊpeɪ,opo,ope
oʊ,oʊtoʊ,oʊteɪ,oto,ote
oʊ,oʊkoʊ,oʊkeɪ,oko,oke
oʊ,oʊboʊ,oʊbeɪ,obo,obe
oʊ,oʊdoʊ,oʊdeɪ,odo,ode
oʊ,oʊgoʊ,oʊgeɪ,ogo,oge
oʊ,oʊfoʊ,oʊfeɪ,ofo,ofe
oʊ,oʊsoʊ,oʊseɪ,oso,ose
oʊ,oʊvoʊ,oʊveɪ,ovo,ove
oʊ,oʊzoʊ,oʊzeɪ,ozo,oze
oʊ,oʊʃoʊ,oʊʃeɪ,oʃo,oʃe
oʊ,oʊʒoʊ,oʊʒeɪ,oʒo,oʒe
oʊ,oʊθoʊ,oʊθeɪ,oθo,oθe
oʊ,oʊðoʊ,oʊðeɪ,oðo,oðe
oʊ,oʊhoʊ,oʊheɪ,oho,ohe
i,imɪm,imʊm,imɪm,imʊm
i,imɪn,imʊn,imɪn,imʊn
i,imɪŋ,imʊŋ,imɪŋ,imʊŋ
i,imɪp,imʊp,imɪp,imʊp
i,imɪt,imʊt,imɪt,imʊt
i,imɪk,imʊk,imɪk,imʊk
i,imɪb,imʊb,imɪb,imʊb
i,imɪd,imʊd,imɪd,imʊd
i,imɪg,imʊg,imɪg,imʊg
i,imɪf,imʊf,imɪf,imʊf
i,imɪs,imʊs,imɪs,imʊs
i,imɪv,imʊv,imɪv,imʊv
i,imɪz,imʊz,imɪz,imʊz
i,imɪʃ,imʊʃ,imɪʃ,imʊʃ
i,imɪʒ,imʊʒ,imɪʒ,imʊʒ
i,imɪθ,imʊθ,imɪθ,imʊθ
i,imɪð,imʊð,imɪð,imʊð
i,inɪm,inʊm,inɪm,inʊm
i,inɪn,inʊn,inɪn,inʊn
i,inɪŋ,inʊŋ,inɪŋ,inʊŋ
i,inɪp,inʊp,inɪp,inʊp
i,inɪt,inʊt,inɪt,inʊt
i,inɪk,inʊk,inɪk,inʊk
i,inɪb,inʊb,inɪb,inʊb
i,inɪd,inʊd,inɪd,inʊd
i,inɪg,inʊg,inɪg,inʊg
i,inɪf,inʊf,inɪf,inʊf
i,inɪs,inʊs,inɪs,inʊs
i,inɪv,inʊv,inɪv,inʊv
i,inɪz,inʊz,inɪz,inʊz
i,inɪʃ,inʊʃ,inɪʃ,inʊʃ
i,inɪʒ,inʊʒ,inɪʒ,inʊʒ
i,inɪθ,inʊθ,inɪθ,inʊθ
i,inɪð,inʊð,inɪð,inʊð
i,ipɪm,ipʊm,ipɪm,ipʊm
i,ipɪn,ipʊn,ipɪn,ipʊn
