stem,ur_ref,sr_ref,ur,sr
i,imi,imi,imi,imi
i,ini,ini,ini,ini
i,ipi,ipi,ipi,ipi
i,iti,iti,iti,iti
i,iki,iki,iki,iki
i,ibi,ibi,ibi,ibi
i,idi,idi,idi,idi
i,igi,igi,igi,igi
i,ifi,ifi,ifi,ifi
i,isi,isi,isi,isi
i,ivi,ivi,ivi,ivi
i,izi,izi,izi,izi
i,iʃi,iʃi,iʃi,iʃi
i,iʒi,iʒi,iʒi,iʒi
i,iθi,iθi,iθi,iθi
i,iði,iði,iði,iði
i,ihi,ihi,ihi,ihi
i,imeɪ,imeɪ,ime,ime
i,ineɪ,ineɪ,ine,ine
i,ipeɪ,ipeɪ,ipe,ipe
i,iteɪ,iteɪ,ite,ite
i,ikeɪ,ikeɪ,ike,ike
i,ibeɪ,ibeɪ,ibe,ibe
i,ideɪ,ideɪ,ide,ide
i,igeɪ,igeɪ,ige,ige
i,ifeɪ,ifeɪ,ife,ife
i,iseɪ,iseɪ,ise,ise
i,iveɪ,iveɪ,ive,ive
i,izeɪ,izeɪ,ize,ize
i,iʃeɪ,iʃeɪ,iʃe,iʃe
i,iʒeɪ,iʒeɪ,iʒe,iʒe
i,iθeɪ,iθeɪ,iθe,iθe
i,iðeɪ,iðeɪ,iðe,iðe
i,iheɪ,iheɪ,ihe,ihe
i,imu,imi,imu,imi
i,inu,ini,inu,ini
i,ipu,ipi,ipu,ipi
i,itu,iti,itu,iti
i,iku,iki,iku,iki
i,ibu,ibi,ibu,ibi
i,idu,idi,idu,idi
i,igu,igi,igu,igi
i,ifu,ifi,ifu,ifi
i,isu,isi,isu,isi
i,ivu,ivi,ivu,ivi
i,izu,izi,izu,izi
i,iʃu,iʃi,iʃu,iʃi
i,iʒu,iʒi,iʒu,iʒi
i,iθu,iθi,iθu,iθi
i,iðu,iði,iðu,iði
i,ihu,ihi,ihu,ihi
i,imoʊ,imeɪ,imo,ime
i,inoʊ,ineɪ,ino,ine
i,ipoʊ,ipeɪ,ipo,ipe
i,itoʊ,iteɪ,ito,ite
i,ikoʊ,ikeɪ,iko,ike
i,iboʊ,ibeɪ,ibo,ibe
i,idoʊ,ideɪ,ido,ide
i,igoʊ,igeɪ,igo,ige
i,ifoʊ,ifeɪ,ifo,ife
i,isoʊ,iseɪ,iso,ise
i,ivoʊ,iveɪ,ivo,ive
i,izoʊ,izeɪ,izo,ize
i,iʃoʊ,iʃeɪ,iʃo,iʃe
i,iʒoʊ,iʒeɪ,iʒo,iʒe
i,iθoʊ,iθeɪ,iθo,iθe
i,iðoʊ,iðeɪ,iðo,iðe
i,ihoʊ,iheɪ,iho,ihe
eɪ,eɪmi,eɪmi,emi,emi
eɪ,eɪni,eɪni,eni,eni
eɪ,eɪpi,eɪpi,epi,epi
eɪ,eɪti,eɪti,eti,eti
eɪ,eɪki,eɪki,eki,eki
eɪ,eɪbi,eɪbi,ebi,ebi
eɪ,eɪdi,eɪdi,edi,edi
eɪ,eɪgi,eɪgi,egi,egi
eɪ,eɪfi,eɪfi,efi,efi
eɪ,eɪsi,eɪsi,esi,esi
eɪ,eɪvi,eɪvi,evi,evi
eɪ,eɪzi,eɪzi,ezi,ezi
eɪ,eɪʃi,eɪʃi,eʃi,eʃi
eɪ,eɪʒi,eɪʒi,eʒi,eʒi
eɪ,eɪθi,eɪθi,eθi,eθi
eɪ,eɪði,eɪði,eði,eði
eɪ,eɪhi,eɪhi,ehi,ehi
eɪ,eɪmeɪ,eɪmeɪ,eme,eme
eɪ,eɪneɪ,eɪneɪ,ene,ene
eɪ,eɪpeɪ,eɪpeɪ,epe,epe
eɪ,eɪteɪ,eɪteɪ,ete,ete
eɪ,eɪkeɪ,eɪkeɪ,eke,eke
