ur_syll,sr_syll,ur_string,sr_string,ur_var,sr_var
i.mi,i.mu,imi,imu,imi,imu
i.ni,i.nu,ini,inu,ini,inu
i.pi,i.pu,ipi,ipu,ipi,ipu
i.ti,i.tu,iti,itu,iti,itu
i.ki,i.ku,iki,iku,iki,iku
i.bi,i.bu,ibi,ibu,ibi,ibu
i.di,i.du,idi,idu,idi,idu
i.gi,i.gu,igi,igu,igi,igu
i.fi,i.fu,ifi,ifu,ifi,ifu
i.si,i.su,isi,isu,isi,isu
i.vi,i.vu,ivi,ivu,ivi,ivu
i.zi,i.zu,izi,izu,izi,izu
i.ʃi,i.ʃu,iʃi,iʃu,iʃi,iʃu
i.ʒi,i.ʒu,iʒi,iʒu,iʒi,iʒu
i.θi,i.θu,iθi,iθu,iθi,iθu
i.ði,i.ðu,iði,iðu,iði,iðu
i.hi,i.hu,ihi,ihu,ihi,ihu
i.me,i.mo,ime,imo,imeɪ,imoʊ
i.ne,i.no,ine,ino,ineɪ,inoʊ
i.pe,i.po,ipe,ipo,ipeɪ,ipoʊ
i.te,i.to,ite,ito,iteɪ,itoʊ
i.ke,i.ko,ike,iko,ikeɪ,ikoʊ
i.be,i.bo,ibe,ibo,ibeɪ,iboʊ
i.de,i.do,ide,ido,ideɪ,idoʊ
i.ge,i.go,ige,igo,igeɪ,igoʊ
i.fe,i.fo,ife,ifo,ifeɪ,ifoʊ
i.se,i.so,ise,iso,iseɪ,isoʊ
i.ve,i.vo,ive,ivo,iveɪ,ivoʊ
i.ze,i.zo,ize,izo,izeɪ,izoʊ
i.ʃe,i.ʃo,iʃe,iʃo,iʃeɪ,iʃoʊ
i.ʒe,i.ʒo,iʒe,iʒo,iʒeɪ,iʒoʊ
i.θe,i.θo,iθe,iθo,iθeɪ,iθoʊ
i.ðe,i.ðo,iðe,iðo,iðeɪ,iðoʊ
i.he,i.ho,ihe,iho,iheɪ,ihoʊ
i.mu,i.mi,imu,imi,imu,imi
i.nu,i.ni,inu,ini,inu,ini
i.pu,i.pi,ipu,ipi,ipu,ipi
i.tu,i.ti,itu,iti,itu,iti
i.ku,i.ki,iku,iki,iku,iki
i.bu,i.bi,ibu,ibi,ibu,ibi
