ur_syll,sr_syll,ur_string,sr_string,ur_var,sr_var
i.mi,u.mi,imi,umi,imi,umi
i.ni,u.ni,ini,uni,ini,uni
i.pi,u.pi,ipi,upi,ipi,upi
i.ti,u.ti,iti,uti,iti,uti
i.ki,u.ki,iki,uki,iki,uki
i.bi,u.bi,ibi,ubi,ibi,ubi
i.di,u.di,idi,udi,idi,udi
i.gi,u.gi,igi,ugi,igi,ugi
i.fi,u.fi,ifi,ufi,ifi,ufi
i.si,u.si,isi,usi,isi,usi
i.vi,u.vi,ivi,uvi,ivi,uvi
i.zi,u.zi,izi,uzi,izi,uzi
i.ʃi,u.ʃi,iʃi,uʃi,iʃi,uʃi
i.ʒi,u.ʒi,iʒi,uʒi,iʒi,uʒi
i.θi,u.θi,iθi,uθi,iθi,uθi
i.ði,u.ði,iði,uði,iði,uði
i.hi,u.hi,ihi,uhi,ihi,uhi
i.me,u.me,ime,ume,imeɪ,umeɪ
i.ne,u.ne,ine,une,ineɪ,uneɪ
i.pe,u.pe,ipe,upe,ipeɪ,upeɪ
i.te,u.te,ite,ute,iteɪ,uteɪ
i.ke,u.ke,ike,uke,ikeɪ,ukeɪ
i.be,u.be,ibe,ube,ibeɪ,ubeɪ
i.de,u.de,ide,ude,ideɪ,udeɪ
i.ge,u.ge,ige,uge,igeɪ,ugeɪ
i.fe,u.fe,ife,ufe,ifeɪ,ufeɪ
i.se,u.se,ise,use,iseɪ,useɪ
i.ve,u.ve,ive,uve,iveɪ,uveɪ
i.ze,u.ze,ize,uze,izeɪ,uzeɪ
i.ʃe,u.ʃe,iʃe,uʃe,iʃeɪ,uʃeɪ
i.ʒe,u.ʒe,iʒe,uʒe,iʒeɪ,uʒeɪ
i.θe,u.θe,iθe,uθe,iθeɪ,uθeɪ
i.ðe,u.ðe,iðe,uðe,iðeɪ,uðeɪ
i.he,u.he,ihe,uhe,iheɪ,uheɪ
i.mu,u.mu,imu,umu,imu,umu
i.nu,u.nu,inu,unu,inu,unu
i.pu,u.pu,ipu,upu,ipu,upu
i.tu,u.tu,itu,utu,itu,utu
i.ku,u.ku,iku,uku,iku,uku
i.bu,u.bu,ibu,ubu,ibu,ubu
i.du,u.du,idu,udu,idu,udu
i.gu,u.gu,igu,ugu,igu,ugu
i.fu,u.fu,ifu,ufu,ifu,ufu
i.su,u.su,isu,usu,isu,usu
i.vu,u.vu,ivu,uvu,ivu,uvu
i.zu,u.zu,izu,uzu,izu,uzu
i.ʃu,u.ʃu,iʃu,uʃu,iʃu,uʃu
i.ʒu,u.ʒu,iʒu,uʒu,iʒu,uʒu
i.θu,u.θu,iθu,uθu,iθu,uθu
i.ðu,u.ðu,iðu,uðu,iðu,uðu
i.hu,u.hu,ihu,uhu,ihu,uhu
i.mo,u.mo,imo,umo,imoʊ,umoʊ
i.no,u.no,ino,uno,inoʊ,unoʊ
i.po,u.po,ipo,upo,ipoʊ,upoʊ
i.to,u.to,ito,uto,itoʊ,utoʊ
i.ko,u.ko,iko,uko,ikoʊ,ukoʊ
i.bo,u.bo,ibo,ubo,iboʊ,uboʊ
i.do,u.do,ido,udo,idoʊ,udoʊ
i.go,u.go,igo,ugo,igoʊ,ugoʊ
i.fo,u.fo,ifo,ufo,ifoʊ,ufoʊ
i.so,u.so,iso,uso,isoʊ,usoʊ
i.vo,u.vo,ivo,uvo,ivoʊ,uvoʊ
i.zo,u.zo,izo,uzo,izoʊ,uzoʊ
i.ʃo,u.ʃo,iʃo,uʃo,iʃoʊ,uʃoʊ
i.ʒo,u.ʒo,iʒo,uʒo,iʒoʊ,uʒoʊ
i.θo,u.θo,iθo,uθo,iθoʊ,uθoʊ
i.ðo,u.ðo,iðo,uðo,iðoʊ,uðoʊ
i.ho,u.ho,iho,uho,ihoʊ,uhoʊ
e.mi,o.mi,emi,omi,eɪmi,oʊmi
e.ni,o.ni,eni,oni,eɪni,oʊni
e.pi,o.pi,epi,opi,eɪpi,oʊpi
e.ti,o.ti,eti,oti,eɪti,oʊti
e.ki,o.ki,eki,oki,eɪki,oʊki
e.bi,o.bi,ebi,obi,eɪbi,oʊbi
e.di,o.di,edi,odi,eɪdi,oʊdi
e.gi,o.gi,egi,ogi,eɪgi,oʊgi
e.fi,o.fi,efi,ofi,eɪfi,oʊfi
e.si,o.si,esi,osi,eɪsi,oʊsi
e.vi,o.vi,evi,ovi,eɪvi,oʊvi
e.zi,o.zi,ezi,ozi,eɪzi,oʊzi
e.ʃi,o.ʃi,eʃi,oʃi,eɪʃi,oʊʃi
e.ʒi,o.ʒi,eʒi,oʒi,eɪʒi,oʊʒi
e.θi,o.θi,eθi,oθi,eɪθi,oʊθi
e.ði,o.ði,eði,oði,eɪði,oʊði
e.hi,o.hi,ehi,ohi,eɪhi,oʊhi
e.me,o.me,eme,ome,eɪmeɪ,oʊmeɪ
e.ne,o.ne,ene,one,eɪneɪ,oʊneɪ
e.pe,o.pe,epe,ope,eɪpeɪ,oʊpeɪ
e.te,o.te,ete,ote,eɪteɪ,oʊteɪ
e.ke,o.ke,eke,oke,eɪkeɪ,oʊkeɪ
e.be,o.be,ebe,obe,eɪbeɪ,oʊbeɪ
e.de,o.de,ede,ode,eɪdeɪ,oʊdeɪ
e.ge,o.ge,ege,oge,eɪgeɪ,oʊgeɪ
e.fe,o.fe,efe,ofe,eɪfeɪ,oʊfeɪ
e.se,o.se,ese,ose,eɪseɪ,oʊseɪ
e.ve,o.ve,eve,ove,eɪveɪ,oʊveɪ
e.ze,o.ze,eze,oze,eɪzeɪ,oʊzeɪ
e.ʃe,o.ʃe,eʃe,oʃe,eɪʃeɪ,oʊʃeɪ
e.ʒe,o.ʒe,eʒe,oʒe,eɪʒeɪ,oʊʒeɪ
e.θe,o.θe,eθe,oθe,eɪθeɪ,oʊθeɪ
e.ðe,o.ðe,eðe,oðe,eɪðeɪ,oʊðeɪ
e.he,o.he,ehe,ohe,eɪheɪ,oʊheɪ
e.mu,o.mu,emu,omu,eɪmu,oʊmu
e.nu,o.nu,enu,onu,eɪnu,oʊnu
e.pu,o.pu,epu,opu,eɪpu,oʊpu
e.tu,o.tu,etu,otu,eɪtu,oʊtu
e.ku,o.ku,eku,oku,eɪku,oʊku
e.bu,o.bu,ebu,obu,eɪbu,oʊbu
e.du,o.du,edu,odu,eɪdu,oʊdu
e.gu,o.gu,egu,ogu,eɪgu,oʊgu
e.fu,o.fu,efu,ofu,eɪfu,oʊfu
e.su,o.su,esu,osu,eɪsu,oʊsu
e.vu,o.vu,evu,ovu,eɪvu,oʊvu
e.zu,o.zu,ezu,ozu,eɪzu,oʊzu
e.ʃu,o.ʃu,eʃu,oʃu,eɪʃu,oʊʃu
e.ʒu,o.ʒu,eʒu,oʒu,eɪʒu,oʊʒu
e.θu,o.θu,eθu,oθu,eɪθu,oʊθu
e.ðu,o.ðu,eðu,oðu,eɪðu,oʊðu
e.hu,o.hu,ehu,ohu,eɪhu,oʊhu
e.mo,o.mo,emo,omo,eɪmoʊ,oʊmoʊ
e.no,o.no,eno,ono,eɪnoʊ,oʊnoʊ
e.po,o.po,epo,opo,eɪpoʊ,oʊpoʊ
e.to,o.to,eto,oto,eɪtoʊ,oʊtoʊ
e.ko,o.ko,eko,oko,eɪkoʊ,oʊkoʊ
e.bo,o.bo,ebo,obo,eɪboʊ,oʊboʊ
e.do,o.do,edo,odo,eɪdoʊ,oʊdoʊ
e.go,o.go,ego,ogo,eɪgoʊ,oʊgoʊ
e.fo,o.fo,efo,ofo,eɪfoʊ,oʊfoʊ
e.so,o.so,eso,oso,eɪsoʊ,oʊsoʊ
e.vo,o.vo,evo,ovo,eɪvoʊ,oʊvoʊ
e.zo,o.zo,ezo,ozo,eɪzoʊ,oʊzoʊ
e.ʃo,o.ʃo,eʃo,oʃo,eɪʃoʊ,oʊʃoʊ
e.ʒo,o.ʒo,eʒo,oʒo,eɪʒoʊ,oʊʒoʊ
e.θo,o.θo,eθo,oθo,eɪθoʊ,oʊθoʊ
e.ðo,o.ðo,eðo,oðo,eɪðoʊ,oʊðoʊ
e.ho,o.ho,eho,oho,eɪhoʊ,oʊhoʊ
u.mi,i.mi,umi,imi,umi,imi
u.ni,i.ni,uni,ini,uni,ini
u.pi,i.pi,upi,ipi,upi,ipi
u.ti,i.ti,uti,iti,uti,iti
u.ki,i.ki,uki,iki,uki,iki
u.bi,i.bi,ubi,ibi,ubi,ibi
u.di,i.di,udi,idi,udi,idi
u.gi,i.gi,ugi,igi,ugi,igi
u.fi,i.fi,ufi,ifi,ufi,ifi
u.si,i.si,usi,isi,usi,isi
u.vi,i.vi,uvi,ivi,uvi,ivi
u.zi,i.zi,uzi,izi,uzi,izi
u.ʃi,i.ʃi,uʃi,iʃi,uʃi,iʃi
u.ʒi,i.ʒi,uʒi,iʒi,uʒi,iʒi
u.θi,i.θi,uθi,iθi,uθi,iθi
u.ði,i.ði,uði,iði,uði,iði
u.hi,i.hi,uhi,ihi,uhi,ihi
u.me,i.me,ume,ime,umeɪ,imeɪ
u.ne,i.ne,une,ine,uneɪ,ineɪ
u.pe,i.pe,upe,ipe,upeɪ,ipeɪ
u.te,i.te,ute,ite,uteɪ,iteɪ
u.ke,i.ke,uke,ike,ukeɪ,ikeɪ
u.be,i.be,ube,ibe,ubeɪ,ibeɪ
u.de,i.de,ude,ide,udeɪ,ideɪ
u.ge,i.ge,uge,ige,ugeɪ,igeɪ
u.fe,i.fe,ufe,ife,ufeɪ,ifeɪ
u.se,i.se,use,ise,useɪ,iseɪ
u.ve,i.ve,uve,ive,uveɪ,iveɪ
u.ze,i.ze,uze,ize,uzeɪ,izeɪ
u.ʃe,i.ʃe,uʃe,iʃe,uʃeɪ,iʃeɪ
u.ʒe,i.ʒe,uʒe,iʒe,uʒeɪ,iʒeɪ
u.θe,i.θe,uθe,iθe,uθeɪ,iθeɪ
u.ðe,i.ðe,uðe,iðe,uðeɪ,iðeɪ
u.he,i.he,uhe,ihe,uheɪ,iheɪ
u.mu,i.mu,umu,imu,umu,imu
u.nu,i.nu,unu,inu,unu,inu
u.pu,i.pu,upu,ipu,upu,ipu
u.tu,i.tu,utu,itu,utu,itu
u.ku,i.ku,uku,iku,uku,iku
u.bu,i.bu,ubu,ibu,ubu,ibu
u.du,i.du,udu,idu,udu,idu
u.gu,i.gu,ugu,igu,ugu,igu
u.fu,i.fu,ufu,ifu,ufu,ifu
u.su,i.su,usu,isu,usu,isu
u.vu,i.vu,uvu,ivu,uvu,ivu
u.zu,i.zu,uzu,izu,uzu,izu
u.ʃu,i.ʃu,uʃu,iʃu,uʃu,iʃu
u.ʒu,i.ʒu,uʒu,iʒu,uʒu,iʒu
u.θu,i.θu,uθu,iθu,uθu,iθu
u.ðu,i.ðu,uðu,iðu,uðu,iðu
u.hu,i.hu,uhu,ihu,uhu,ihu
u.mo,i.mo,umo,imo,umoʊ,imoʊ
u.no,i.no,uno,ino,unoʊ,inoʊ
u.po,i.po,upo,ipo,upoʊ,ipoʊ
u.to,i.to,uto,ito,utoʊ,itoʊ
