ur_syll,sr_syll,ur_string,sr_string,ur_var,sr_var
i.mi,i.mi,imi,imi,imi,imi
i.ni,i.ni,ini,ini,ini,ini
i.pi,i.pi,ipi,ipi,ipi,ipi
i.ti,i.ti,iti,iti,iti,iti
i.ki,i.ki,iki,iki,iki,iki
i.bi,i.bi,ibi,ibi,ibi,ibi
i.di,i.di,idi,idi,idi,idi
i.gi,i.gi,igi,igi,igi,igi
i.fi,i.fi,ifi,ifi,ifi,ifi
i.si,i.si,isi,isi,isi,isi
i.vi,i.vi,ivi,ivi,ivi,ivi
i.zi,i.zi,izi,izi,izi,izi
i.ʃi,i.ʃi,iʃi,iʃi,iʃi,iʃi
i.ʒi,i.ʒi,iʒi,iʒi,iʒi,iʒi
i.θi,i.θi,iθi,iθi,iθi,iθi
i.ði,i.ði,iði,iði,iði,iði
i.hi,i.hi,ihi,ihi,ihi,ihi
i.me,i.me,ime,ime,imeɪ,imeɪ
i.ne,i.ne,ine,ine,ineɪ,ineɪ
i.pe,i.pe,ipe,ipe,ipeɪ,ipeɪ
i.te,i.te,ite,ite,iteɪ,iteɪ
i.ke,i.ke,ike,ike,ikeɪ,ikeɪ
i.be,i.be,ibe,ibe,ibeɪ,ibeɪ
i.de,i.de,ide,ide,ideɪ,ideɪ
i.ge,i.ge,ige,ige,igeɪ,igeɪ
i.fe,i.fe,ife,ife,ifeɪ,ifeɪ
i.se,i.se,ise,ise,iseɪ,iseɪ
i.ve,i.ve,ive,ive,iveɪ,iveɪ
i.ze,i.ze,ize,ize,izeɪ,izeɪ
i.ʃe,i.ʃe,iʃe,iʃe,iʃeɪ,iʃeɪ
i.ʒe,i.ʒe,iʒe,iʒe,iʒeɪ,iʒeɪ
i.θe,i.θe,iθe,iθe,iθeɪ,iθeɪ
i.ðe,i.ðe,iðe,iðe,iðeɪ,iðeɪ
i.he,i.he,ihe,ihe,iheɪ,iheɪ
i.mu,i.mu,imu,imu,imu,imu
i.nu,i.nu,inu,inu,inu,inu
i.pu,i.pu,ipu,ipu,ipu,ipu
i.tu,i.tu,itu,itu,itu,itu
i.ku,i.ku,iku,iku,iku,iku
i.bu,i.bu,ibu,ibu,ibu,ibu
i.du,i.du,idu,idu,idu,idu
i.gu,i.gu,igu,igu,igu,igu
i.fu,i.fu,ifu,ifu,ifu,ifu
i.su,i.su,isu,isu,isu,isu
i.vu,i.vu,ivu,ivu,ivu,ivu
i.zu,i.zu,izu,izu,izu,izu
i.ʃu,i.ʃu,iʃu,iʃu,iʃu,iʃu
i.ʒu,i.ʒu,iʒu,iʒu,iʒu,iʒu
i.θu,i.θu,iθu,iθu,iθu,iθu
i.ðu,i.ðu,iðu,iðu,iðu,iðu
i.hu,i.hu,ihu,ihu,ihu,ihu
i.mo,i.mo,imo,imo,imoʊ,imoʊ
i.no,i.no,ino,ino,inoʊ,inoʊ
i.po,i.po,ipo,ipo,ipoʊ,ipoʊ
i.to,i.to,ito,ito,itoʊ,itoʊ
i.ko,i.ko,iko,iko,ikoʊ,ikoʊ
i.bo,i.bo,ibo,ibo,iboʊ,iboʊ
i.do,i.do,ido,ido,idoʊ,idoʊ
i.go,i.go,igo,igo,igoʊ,igoʊ
i.fo,i.fo,ifo,ifo,ifoʊ,ifoʊ
i.so,i.so,iso,iso,isoʊ,isoʊ
i.vo,i.vo,ivo,ivo,ivoʊ,ivoʊ
i.zo,i.zo,izo,izo,izoʊ,izoʊ
i.ʃo,i.ʃo,iʃo,iʃo,iʃoʊ,iʃoʊ
i.ʒo,i.ʒo,iʒo,iʒo,iʒoʊ,iʒoʊ
i.θo,i.θo,iθo,iθo,iθoʊ,iθoʊ
i.ðo,i.ðo,iðo,iðo,iðoʊ,iðoʊ
i.ho,i.ho,iho,iho,ihoʊ,ihoʊ
e.mi,e.mi,emi,emi,eɪmi,eɪmi
e.ni,e.ni,eni,eni,eɪni,eɪni
e.pi,e.pi,epi,epi,eɪpi,eɪpi
e.ti,e.ti,eti,eti,eɪti,eɪti
e.ki,e.ki,eki,eki,eɪki,eɪki
e.bi,e.bi,ebi,ebi,eɪbi,eɪbi
e.di,e.di,edi,edi,eɪdi,eɪdi
e.gi,e.gi,egi,egi,eɪgi,eɪgi
e.fi,e.fi,efi,efi,eɪfi,eɪfi
e.si,e.si,esi,esi,eɪsi,eɪsi
e.vi,e.vi,evi,evi,eɪvi,eɪvi
e.zi,e.zi,ezi,ezi,eɪzi,eɪzi
e.ʃi,e.ʃi,eʃi,eʃi,eɪʃi,eɪʃi
e.ʒi,e.ʒi,eʒi,eʒi,eɪʒi,eɪʒi
e.θi,e.θi,eθi,eθi,eɪθi,eɪθi
e.ði,e.ði,eði,eði,eɪði,eɪði
e.hi,e.hi,ehi,ehi,eɪhi,eɪhi
e.me,e.me,eme,eme,eɪmeɪ,eɪmeɪ
e.ne,e.ne,ene,ene,eɪneɪ,eɪneɪ
e.pe,e.pe,epe,epe,eɪpeɪ,eɪpeɪ
e.te,e.te,ete,ete,eɪteɪ,eɪteɪ
e.ke,e.ke,eke,eke,eɪkeɪ,eɪkeɪ
e.be,e.be,ebe,ebe,eɪbeɪ,eɪbeɪ
e.de,e.de,ede,ede,eɪdeɪ,eɪdeɪ
e.ge,e.ge,ege,ege,eɪgeɪ,eɪgeɪ
e.fe,e.fe,efe,efe,eɪfeɪ,eɪfeɪ
e.se,e.se,ese,ese,eɪseɪ,eɪseɪ
e.ve,e.ve,eve,eve,eɪveɪ,eɪveɪ
e.ze,e.ze,eze,eze,eɪzeɪ,eɪzeɪ
e.ʃe,e.ʃe,eʃe,eʃe,eɪʃeɪ,eɪʃeɪ
e.ʒe,e.ʒe,eʒe,eʒe,eɪʒeɪ,eɪʒeɪ
e.θe,e.θe,eθe,eθe,eɪθeɪ,eɪθeɪ
e.ðe,e.ðe,eðe,eðe,eɪðeɪ,eɪðeɪ
e.he,e.he,ehe,ehe,eɪheɪ,eɪheɪ
e.mu,e.mu,emu,emu,eɪmu,eɪmu
e.nu,e.nu,enu,enu,eɪnu,eɪnu
e.pu,e.pu,epu,epu,eɪpu,eɪpu
e.tu,e.tu,etu,etu,eɪtu,eɪtu
e.ku,e.ku,eku,eku,eɪku,eɪku
e.bu,e.bu,ebu,ebu,eɪbu,eɪbu
e.du,e.du,edu,edu,eɪdu,eɪdu
e.gu,e.gu,egu,egu,eɪgu,eɪgu
e.fu,e.fu,efu,efu,eɪfu,eɪfu
e.su,e.su,esu,esu,eɪsu,eɪsu
e.vu,e.vu,evu,evu,eɪvu,eɪvu
e.zu,e.zu,ezu,ezu,eɪzu,eɪzu
e.ʃu,e.ʃu,eʃu,eʃu,eɪʃu,eɪʃu
e.ʒu,e.ʒu,eʒu,eʒu,eɪʒu,eɪʒu
e.θu,e.θu,eθu,eθu,eɪθu,eɪθu
e.ðu,e.ðu,eðu,eðu,eɪðu,eɪðu
e.hu,e.hu,ehu,ehu,eɪhu,eɪhu
e.mo,e.mo,emo,emo,eɪmoʊ,eɪmoʊ
e.no,e.no,eno,eno,eɪnoʊ,eɪnoʊ
e.po,e.po,epo,epo,eɪpoʊ,eɪpoʊ
e.to,e.to,eto,eto,eɪtoʊ,eɪtoʊ
e.ko,e.ko,eko,eko,eɪkoʊ,eɪkoʊ
e.bo,e.bo,ebo,ebo,eɪboʊ,eɪboʊ
e.do,e.do,edo,edo,eɪdoʊ,eɪdoʊ
e.go,e.go,ego,ego,eɪgoʊ,eɪgoʊ
e.fo,e.fo,efo,efo,eɪfoʊ,eɪfoʊ
e.so,e.so,eso,eso,eɪsoʊ,eɪsoʊ
e.vo,e.vo,evo,evo,eɪvoʊ,eɪvoʊ
e.zo,e.zo,ezo,ezo,eɪzoʊ,eɪzoʊ
e.ʃo,e.ʃo,eʃo,eʃo,eɪʃoʊ,eɪʃoʊ
e.ʒo,e.ʒo,eʒo,eʒo,eɪʒoʊ,eɪʒoʊ
e.θo,e.θo,eθo,eθo,eɪθoʊ,eɪθoʊ
e.ðo,e.ðo,eðo,eðo,eɪðoʊ,eɪðoʊ
e.ho,e.ho,eho,eho,eɪhoʊ,eɪhoʊ
u.mi,u.mi,umi,umi,umi,umi
u.ni,u.ni,uni,uni,uni,uni
u.pi,u.pi,upi,upi,upi,upi
u.ti,u.ti,uti,uti,uti,uti
u.ki,u.ki,uki,uki,uki,uki
u.bi,u.bi,ubi,ubi,ubi,ubi
u.di,u.di,udi,udi,udi,udi
u.gi,u.gi,ugi,ugi,ugi,ugi
u.fi,u.fi,ufi,ufi,ufi,ufi
u.si,u.si,usi,usi,usi,usi
u.vi,u.vi,uvi,uvi,uvi,uvi
u.zi,u.zi,uzi,uzi,uzi,uzi
u.ʃi,u.ʃi,uʃi,uʃi,uʃi,uʃi
u.ʒi,u.ʒi,uʒi,uʒi,uʒi,uʒi
u.θi,u.θi,uθi,uθi,uθi,uθi
u.ði,u.ði,uði,uði,uði,uði
u.hi,u.hi,uhi,uhi,uhi,uhi
u.me,u.me,ume,ume,umeɪ,umeɪ
u.ne,u.ne,une,une,uneɪ,uneɪ
u.pe,u.pe,upe,upe,upeɪ,upeɪ
u.te,u.te,ute,ute,uteɪ,uteɪ
u.ke,u.ke,uke,uke,ukeɪ,ukeɪ
u.be,u.be,ube,ube,ubeɪ,ubeɪ
u.de,u.de,ude,ude,udeɪ,udeɪ
u.ge,u.ge,uge,uge,ugeɪ,ugeɪ
u.fe,u.fe,ufe,ufe,ufeɪ,ufeɪ
u.se,u.se,use,use,useɪ,useɪ
u.ve,u.ve,uve,uve,uveɪ,uveɪ
u.ze,u.ze,uze,uze,uzeɪ,uzeɪ
u.ʃe,u.ʃe,uʃe,uʃe,uʃeɪ,uʃeɪ
u.ʒe,u.ʒe,uʒe,uʒe,uʒeɪ,uʒeɪ
u.θe,u.θe,uθe,uθe,uθeɪ,uθeɪ
u.ðe,u.ðe,uðe,uðe,uðeɪ,uðeɪ
u.he,u.he,uhe,uhe,uheɪ,uheɪ
u.mu,u.mu,umu,umu,umu,umu
u.nu,u.nu,unu,unu,unu,unu
u.pu,u.pu,upu,upu,upu,upu
u.tu,u.tu,utu,utu,utu,utu
u.ku,u.ku,uku,uku,uku,uku
u.bu,u.bu,ubu,ubu,ubu,ubu
u.du,u.du,udu,udu,udu,udu
u.gu,u.gu,ugu,ugu,ugu,ugu
u.fu,u.fu,ufu,ufu,ufu,ufu
u.su,u.su,usu,usu,usu,usu
u.vu,u.vu,uvu,uvu,uvu,uvu
u.zu,u.zu,uzu,uzu,uzu,uzu
u.ʃu,u.ʃu,uʃu,uʃu,uʃu,uʃu
u.ʒu,u.ʒu,uʒu,uʒu,uʒu,uʒu
u.θu,u.θu,uθu,uθu,uθu,uθu
u.ðu,u.ðu,uðu,uðu,uðu,uðu
u.hu,u.hu,uhu,uhu,uhu,uhu
u.mo,u.mo,umo,umo,umoʊ,umoʊ
u.no,u.no,uno,uno,unoʊ,unoʊ
u.po,u.po,upo,upo,upoʊ,upoʊ
u.to,u.to,uto,uto,utoʊ,utoʊ
u.ko,u.ko,uko,uko,ukoʊ,ukoʊ
u.bo,u.bo,ubo,ubo,uboʊ,uboʊ
u.do,u.do,udo,udo,udoʊ,udoʊ
u.go,u.go,ugo,ugo,ugoʊ,ugoʊ
u.fo,u.fo,ufo,ufo,ufoʊ,ufoʊ
u.so,u.so,uso,uso,usoʊ,usoʊ
u.vo,u.vo,uvo,uvo,uvoʊ,uvoʊ
u.zo,u.zo,uzo,uzo,uzoʊ,uzoʊ
u.ʃo,u.ʃo,uʃo,uʃo,uʃoʊ,uʃoʊ
u.ʒo,u.ʒo,uʒo,uʒo,uʒoʊ,uʒoʊ
u.θo,u.θo,uθo,uθo,uθoʊ,uθoʊ
u.ðo,u.ðo,uðo,uðo,uðoʊ,uðoʊ
u.ho,u.ho,uho,uho,uhoʊ,uhoʊ
o.mi,o.mi,omi,omi,oʊmi,oʊmi
o.ni,o.ni,oni,oni,oʊni,oʊni
o.pi,o.pi,opi,opi,oʊpi,oʊpi
o.ti,o.ti,oti,oti,oʊti,oʊti
o.ki,o.ki,oki,oki,oʊki,oʊki
o.bi,o.bi,obi,obi,oʊbi,oʊbi
o.di,o.di,odi,odi,oʊdi,oʊdi
o.gi,o.gi,ogi,ogi,oʊgi,oʊgi
o.fi,o.fi,ofi,ofi,oʊfi,oʊfi
o.si,o.si,osi,osi,oʊsi,oʊsi
o.vi,o.vi,ovi,ovi,oʊvi,oʊvi
o.zi,o.zi,ozi,ozi,oʊzi,oʊzi
o.ʃi,o.ʃi,oʃi,oʃi,oʊʃi,oʊʃi
o.ʒi,o.ʒi,oʒi,oʒi,oʊʒi,oʊʒi
o.θi,o.θi,oθi,oθi,oʊθi,oʊθi
o.ði,o.ði,oði,oði,oʊði,oʊði
o.hi,o.hi,ohi,ohi,oʊhi,oʊhi
o.me,o.me,ome,ome,oʊmeɪ,oʊmeɪ
o.ne,o.ne,one,one,oʊneɪ,oʊneɪ
o.pe,o.pe,ope,ope,oʊpeɪ,oʊpeɪ
o.te,o.te,ote,ote,oʊteɪ,oʊteɪ
o.ke,o.ke,oke,oke,oʊkeɪ,oʊkeɪ
o.be,o.be,obe,obe,oʊbeɪ,oʊbeɪ
o.de,o.de,ode,ode,oʊdeɪ,oʊdeɪ
o.ge,o.ge,oge,oge,oʊgeɪ,oʊgeɪ
o.fe,o.fe,ofe,ofe,oʊfeɪ,oʊfeɪ
o.se,o.se,ose,ose,oʊseɪ,oʊseɪ
o.ve,o.ve,ove,ove,oʊveɪ,oʊveɪ
o.ze,o.ze,oze,oze,oʊzeɪ,oʊzeɪ
o.ʃe,o.ʃe,oʃe,oʃe,oʊʃeɪ,oʊʃeɪ
o.ʒe,o.ʒe,oʒe,oʒe,oʊʒeɪ,oʊʒeɪ
o.θe,o.θe,oθe,oθe,oʊθeɪ,oʊθeɪ
o.ðe,o.ðe,oðe,oðe,oʊðeɪ,oʊðeɪ
o.he,o.he,ohe,ohe,oʊheɪ,oʊheɪ
o.mu,o.mu,omu,omu,oʊmu,oʊmu
o.nu,o.nu,onu,onu,oʊnu,oʊnu
o.pu,o.pu,opu,opu,oʊpu,oʊpu
o.tu,o.tu,otu,otu,oʊtu,oʊtu
o.ku,o.ku,oku,oku,oʊku,oʊku
o.bu,o.bu,obu,obu,oʊbu,oʊbu
o.du,o.du,odu,odu,oʊdu,oʊdu
o.gu,o.gu,ogu,ogu,oʊgu,oʊgu
o.fu,o.fu,ofu,ofu,oʊfu,oʊfu
o.su,o.su,osu,osu,oʊsu,oʊsu
o.vu,o.vu,ovu,ovu,oʊvu,oʊvu
o.zu,o.zu,ozu,ozu,oʊzu,oʊzu
o.ʃu,o.ʃu,oʃu,oʃu,oʊʃu,oʊʃu
o.ʒu,o.ʒu,oʒu,oʒu,oʊʒu,oʊʒu
o.θu,o.θu,oθu,oθu,oʊθu,oʊθu
o.ðu,o.ðu,oðu,oðu,oʊðu,oʊðu
o.hu,o.hu,ohu,ohu,oʊhu,oʊhu
o.mo,o.mo,omo,omo,oʊmoʊ,oʊmoʊ
o.no,o.no,ono,ono,oʊnoʊ,oʊnoʊ
o.po,o.po,opo,opo,oʊpoʊ,oʊpoʊ
o.to,o.to,oto,oto,oʊtoʊ,oʊtoʊ
o.ko,o.ko,oko,oko,oʊkoʊ,oʊkoʊ
o.bo,o.bo,obo,obo,oʊboʊ,oʊboʊ
o.do,o.do,odo,odo,oʊdoʊ,oʊdoʊ
o.go,o.go,ogo,ogo,oʊgoʊ,oʊgoʊ
o.fo,o.fo,ofo,ofo,oʊfoʊ,oʊfoʊ
o.so,o.so,oso,oso,oʊsoʊ,oʊsoʊ
o.vo,o.vo,ovo,ovo,oʊvoʊ,oʊvoʊ
o.zo,o.zo,ozo,ozo,oʊzoʊ,oʊzoʊ
o.ʃo,o.ʃo,oʃo,oʃo,oʊʃoʊ,oʊʃoʊ
o.ʒo,o.ʒo,oʒo,oʒo,oʊʒoʊ,oʊʒoʊ
