ur,sr
ip,ip
it,it
ik,ik
if,if
is,is
iʃ,iʃ
iθ,iθ
eɪp,eɪp
eɪt,eɪt
eɪk,eɪk
eɪf,eɪf
eɪs,eɪs
eɪʃ,eɪʃ
eɪθ,eɪθ
up,up
ut,ut
uk,uk
uf,uf
us,us
uʃ,uʃ
uθ,uθ
oʊp,oʊp
oʊt,oʊt
oʊk,oʊk
oʊf,oʊf
oʊs,oʊs
oʊʃ,oʊʃ
oʊθ,oʊθ
ɪp,ɪp
ɪt,ɪt
ɪk,ɪk
ɪf,ɪf
ɪs,ɪs
ɪʃ,ɪʃ
ɪθ,ɪθ
ɛp,ɛp
ɛt,ɛt
ɛk,ɛk
ɛf,ɛf
ɛs,ɛs
ɛʃ,ɛʃ
ɛθ,ɛθ
ʊp,ʊp
ʊt,ʊt
ʊk,ʊk
ʊf,ʊf
ʊs,ʊs
ʊʃ,ʊʃ
ʊθ,ʊθ
ɔp,ɔp
ɔt,ɔt
ɔk,ɔk
ɔf,ɔf
ɔs,ɔs
ɔʃ,ɔʃ
ɔθ,ɔθ
ib,ip
id,it
ig,ik
iv,if
iz,is
iʒ,iʃ
ið,iθ
eɪb,eɪp
eɪd,eɪt
eɪg,eɪk
eɪv,eɪf
eɪz,eɪs
eɪʒ,eɪʃ
eɪð,eɪθ
ub,up
ud,ut
ug,uk
uv,uf
uz,us
uʒ,uʃ
uð,uθ
oʊb,oʊp
oʊd,oʊt
oʊg,oʊk
oʊv,oʊf
oʊz,oʊs
oʊʒ,oʊʃ
oʊð,oʊθ
ɪb,ɪp
ɪd,ɪt
ɪg,ɪk
ɪv,ɪf
ɪz,ɪs
ɪʒ,ɪʃ
ɪð,ɪθ
ɛb,ɛp
ɛd,ɛt
ɛg,ɛk
ɛv,ɛf
ɛz,ɛs
ɛʒ,ɛʃ
ɛð,ɛθ
ʊb,ʊp
ʊd,ʊt
ʊg,ʊk
ʊv,ʊf
ʊz,ʊs
ʊʒ,ʊʃ
ʊð,ʊθ
ɔb,ɔp
ɔd,ɔt
ɔg,ɔk
ɔv,ɔf
ɔz,ɔs
ɔʒ,ɔʃ
ɔð,ɔθ
pip,pip
pit,pit
pik,pik
pif,pif
pis,pis
piʃ,piʃ
piθ,piθ
peɪp,peɪp
peɪt,peɪt
peɪk,peɪk
peɪf,peɪf
peɪs,peɪs
peɪʃ,peɪʃ
peɪθ,peɪθ
pup,pup
put,put
puk,puk
puf,puf
pus,pus
puʃ,puʃ
puθ,puθ
poʊp,poʊp
poʊt,poʊt
poʊk,poʊk
poʊf,poʊf
poʊs,poʊs
poʊʃ,poʊʃ
poʊθ,poʊθ
pɪp,pɪp
pɪt,pɪt
pɪk,pɪk
pɪf,pɪf
pɪs,pɪs
pɪʃ,pɪʃ
pɪθ,pɪθ
pɛp,pɛp
pɛt,pɛt
pɛk,pɛk
pɛf,pɛf
pɛs,pɛs
pɛʃ,pɛʃ
pɛθ,pɛθ
pʊp,pʊp
pʊt,pʊt
pʊk,pʊk
pʊf,pʊf
pʊs,pʊs
