ur,sr
ip,ib
it,id
ik,ig
if,iv
is,iz
iʃ,iʒ
iθ,ið
eɪp,eɪb
eɪt,eɪd
eɪk,eɪg
eɪf,eɪv
eɪs,eɪz
eɪʃ,eɪʒ
eɪθ,eɪð
up,ub
ut,ud
uk,ug
uf,uv
us,uz
uʃ,uʒ
uθ,uð
oʊp,oʊb
oʊt,oʊd
oʊk,oʊg
oʊf,oʊv
oʊs,oʊz
oʊʃ,oʊʒ
oʊθ,oʊð
ɪp,ɪb
ɪt,ɪd
ɪk,ɪg
ɪf,ɪv
ɪs,ɪz
ɪʃ,ɪʒ
ɪθ,ɪð
ɛp,ɛb
ɛt,ɛd
ɛk,ɛg
ɛf,ɛv
ɛs,ɛz
ɛʃ,ɛʒ
ɛθ,ɛð
ʊp,ʊb
ʊt,ʊd
ʊk,ʊg
ʊf,ʊv
ʊs,ʊz
ʊʃ,ʊʒ
ʊθ,ʊð
ɔp,ɔb
ɔt,ɔd
ɔk,ɔg
ɔf,ɔv
ɔs,ɔz
ɔʃ,ɔʒ
ɔθ,ɔð
ib,ib
id,id
ig,ig
iv,iv
iz,iz
iʒ,iʒ
ið,ið
eɪb,eɪb
eɪd,eɪd
eɪg,eɪg
eɪv,eɪv
eɪz,eɪz
eɪʒ,eɪʒ
eɪð,eɪð
ub,ub
ud,ud
ug,ug
uv,uv
uz,uz
uʒ,uʒ
uð,uð
oʊb,oʊb
oʊd,oʊd
oʊg,oʊg
oʊv,oʊv
oʊz,oʊz
oʊʒ,oʊʒ
oʊð,oʊð
ɪb,ɪb
ɪd,ɪd
ɪg,ɪg
ɪv,ɪv
ɪz,ɪz
ɪʒ,ɪʒ
ɪð,ɪð
ɛb,ɛb
ɛd,ɛd
ɛg,ɛg
ɛv,ɛv
ɛz,ɛz
ɛʒ,ɛʒ
ɛð,ɛð
ʊb,ʊb
ʊd,ʊd
ʊg,ʊg
ʊv,ʊv
ʊz,ʊz
ʊʒ,ʊʒ
ʊð,ʊð
ɔb,ɔb
ɔd,ɔd
ɔg,ɔg
ɔv,ɔv
ɔz,ɔz
ɔʒ,ɔʒ
ɔð,ɔð
pip,pib
pit,pid
pik,pig
pif,piv
pis,piz
piʃ,piʒ
piθ,pið
peɪp,peɪb
peɪt,peɪd
peɪk,peɪg
peɪf,peɪv
peɪs,peɪz
peɪʃ,peɪʒ
peɪθ,peɪð
pup,pub
put,pud
puk,pug
puf,puv
pus,puz
puʃ,puʒ
puθ,puð
poʊp,poʊb
poʊt,poʊd
poʊk,poʊg
poʊf,poʊv
poʊs,poʊz
poʊʃ,poʊʒ
poʊθ,poʊð
pɪp,pɪb
pɪt,pɪd
pɪk,pɪg
pɪf,pɪv
pɪs,pɪz
pɪʃ,pɪʒ
pɪθ,pɪð
pɛp,pɛb
pɛt,pɛd
pɛk,pɛg
pɛf,pɛv
pɛs,pɛz
pɛʃ,pɛʒ
pɛθ,pɛð
pʊp,pʊb
pʊt,pʊd
pʊk,pʊg
pʊf,pʊv
pʊs,pʊz
pʊʃ,pʊʒ
pʊθ,pʊð
pɔp,pɔb
pɔt,pɔd
pɔk,pɔg
pɔf,pɔv
pɔs,pɔz
pɔʃ,pɔʒ
pɔθ,pɔð
pib,pib
pid,pid
pig,pig
piv,piv
piz,piz
piʒ,piʒ
pið,pið
peɪb,peɪb
peɪd,peɪd
peɪg,peɪg
peɪv,peɪv
peɪz,peɪz
peɪʒ,peɪʒ
peɪð,peɪð
pub,pub
pud,pud
pug,pug
puv,puv
puz,puz
puʒ,puʒ
puð,puð
poʊb,poʊb
poʊd,poʊd
poʊg,poʊg
poʊv,poʊv
poʊz,poʊz
poʊʒ,poʊʒ
poʊð,poʊð
pɪb,pɪb
pɪd,pɪd
pɪg,pɪg
pɪv,pɪv
pɪz,pɪz
pɪʒ,pɪʒ
pɪð,pɪð
pɛb,pɛb
pɛd,pɛd
pɛg,pɛg
pɛv,pɛv
pɛz,pɛz
pɛʒ,pɛʒ
pɛð,pɛð
pʊb,pʊb
pʊd,pʊd
pʊg,pʊg
pʊv,pʊv
pʊz,pʊz
pʊʒ,pʊʒ
pʊð,pʊð
pɔb,pɔb
pɔd,pɔd
pɔg,pɔg
pɔv,pɔv
pɔz,pɔz
pɔʒ,pɔʒ
pɔð,pɔð
tip,tib
tit,tid
tik,tig
tif,tiv
tis,tiz
tiʃ,tiʒ
tiθ,tið
teɪp,teɪb
teɪt,teɪd
teɪk,teɪg
teɪf,teɪv
teɪs,teɪz
teɪʃ,teɪʒ
teɪθ,teɪð
tup,tub
tut,tud
tuk,tug
tuf,tuv
tus,tuz
tuʃ,tuʒ
tuθ,tuð
toʊp,toʊb
toʊt,toʊd
toʊk,toʊg
toʊf,toʊv
toʊs,toʊz
toʊʃ,toʊʒ
toʊθ,toʊð
tɪp,tɪb
tɪt,tɪd
tɪk,tɪg
tɪf,tɪv
tɪs,tɪz
tɪʃ,tɪʒ
tɪθ,tɪð
tɛp,tɛb
tɛt,tɛd
tɛk,tɛg
tɛf,tɛv
tɛs,tɛz
tɛʃ,tɛʒ
tɛθ,tɛð
tʊp,tʊb
tʊt,tʊd
tʊk,tʊg
tʊf,tʊv
tʊs,tʊz
tʊʃ,tʊʒ
tʊθ,tʊð
tɔp,tɔb
tɔt,tɔd
tɔk,tɔg
tɔf,tɔv
tɔs,tɔz
tɔʃ,tɔʒ
tɔθ,tɔð
tib,tib
tid,tid
tig,tig
tiv,tiv
tiz,tiz
tiʒ,tiʒ
tið,tið
teɪb,teɪb
