ur,sr
ip,ip
it,it
ik,ik
if,if
is,is
iʃ,iʃ
iθ,iθ
ep,ep
et,et
ek,ek
ef,ef
es,es
eʃ,eʃ
eθ,eθ
up,up
ut,ut
uk,uk
uf,uf
us,us
uʃ,uʃ
uθ,uθ
op,op
ot,ot
ok,ok
of,of
os,os
oʃ,oʃ
oθ,oθ
ɪp,ɪp
ɪt,ɪt
ɪk,ɪk
ɪf,ɪf
ɪs,ɪs
ɪʃ,ɪʃ
ɪθ,ɪθ
ɛp,ɛp
ɛt,ɛt
ɛk,ɛk
ɛf,ɛf
ɛs,ɛs
ɛʃ,ɛʃ
ɛθ,ɛθ
ʊp,ʊp
ʊt,ʊt
ʊk,ʊk
ʊf,ʊf
ʊs,ʊs
ʊʃ,ʊʃ
ʊθ,ʊθ
ɔp,ɔp
ɔt,ɔt
ɔk,ɔk
ɔf,ɔf
ɔs,ɔs
ɔʃ,ɔʃ
ɔθ,ɔθ
ib,ip
id,it
ig,ik
iv,if
iz,is
iʒ,iʃ
ið,iθ
eb,ep
ed,et
eg,ek
ev,ef
ez,es
eʒ,eʃ
eð,eθ
ub,up
ud,ut
ug,uk
uv,uf
uz,us
uʒ,uʃ
uð,uθ
ob,op
od,ot
og,ok
ov,of
oz,os
oʒ,oʃ
oð,oθ
ɪb,ɪp
ɪd,ɪt
ɪg,ɪk
ɪv,ɪf
ɪz,ɪs
ɪʒ,ɪʃ
ɪð,ɪθ
ɛb,ɛp
ɛd,ɛt
ɛg,ɛk
ɛv,ɛf
ɛz,ɛs
ɛʒ,ɛʃ
ɛð,ɛθ
ʊb,ʊp
ʊd,ʊt
ʊg,ʊk
ʊv,ʊf
ʊz,ʊs
ʊʒ,ʊʃ
ʊð,ʊθ
ɔb,ɔp
ɔd,ɔt
ɔg,ɔk
ɔv,ɔf
ɔz,ɔs
ɔʒ,ɔʃ
ɔð,ɔθ
pip,pip
pit,pit
pik,pik
pif,pif
pis,pis
piʃ,piʃ
piθ,piθ
pep,pep
pet,pet
pek,pek
pef,pef
pes,pes
peʃ,peʃ
peθ,peθ
pup,pup
put,put
puk,puk
puf,puf
pus,pus
puʃ,puʃ
puθ,puθ
pop,pop
pot,pot
pok,pok
pof,pof
pos,pos
poʃ,poʃ
poθ,poθ
pɪp,pɪp
pɪt,pɪt
pɪk,pɪk
pɪf,pɪf
pɪs,pɪs
pɪʃ,pɪʃ
pɪθ,pɪθ
pɛp,pɛp
pɛt,pɛt
pɛk,pɛk
pɛf,pɛf
pɛs,pɛs
pɛʃ,pɛʃ
pɛθ,pɛθ
pʊp,pʊp
pʊt,pʊt
pʊk,pʊk
pʊf,pʊf
pʊs,pʊs
pʊʃ,pʊʃ
pʊθ,pʊθ
pɔp,pɔp
pɔt,pɔt
pɔk,pɔk
pɔf,pɔf
pɔs,pɔs
pɔʃ,pɔʃ
pɔθ,pɔθ
pib,pip
pid,pit
pig,pik
piv,pif
piz,pis
piʒ,piʃ
pið,piθ
peb,pep
ped,pet
peg,pek
pev,pef
pez,pes
peʒ,peʃ
peð,peθ
