ur,sr
ip,ib
it,id
ik,ig
if,iv
is,iz
iʃ,iʒ
iθ,ið
ep,eb
et,ed
ek,eg
ef,ev
es,ez
eʃ,eʒ
eθ,eð
up,ub
ut,ud
uk,ug
uf,uv
us,uz
uʃ,uʒ
uθ,uð
op,ob
ot,od
ok,og
of,ov
os,oz
oʃ,oʒ
oθ,oð
ɪp,ɪb
ɪt,ɪd
ɪk,ɪg
ɪf,ɪv
ɪs,ɪz
ɪʃ,ɪʒ
ɪθ,ɪð
ɛp,ɛb
ɛt,ɛd
ɛk,ɛg
ɛf,ɛv
ɛs,ɛz
ɛʃ,ɛʒ
ɛθ,ɛð
ʊp,ʊb
ʊt,ʊd
ʊk,ʊg
ʊf,ʊv
ʊs,ʊz
ʊʃ,ʊʒ
ʊθ,ʊð
ɔp,ɔb
ɔt,ɔd
ɔk,ɔg
ɔf,ɔv
ɔs,ɔz
ɔʃ,ɔʒ
ɔθ,ɔð
ib,ib
id,id
ig,ig
iv,iv
iz,iz
iʒ,iʒ
ið,ið
eb,eb
ed,ed
eg,eg
ev,ev
ez,ez
eʒ,eʒ
eð,eð
ub,ub
ud,ud
ug,ug
uv,uv
uz,uz
uʒ,uʒ
uð,uð
ob,ob
od,od
og,og
ov,ov
oz,oz
oʒ,oʒ
oð,oð
ɪb,ɪb
ɪd,ɪd
ɪg,ɪg
ɪv,ɪv
ɪz,ɪz
ɪʒ,ɪʒ
ɪð,ɪð
ɛb,ɛb
ɛd,ɛd
ɛg,ɛg
ɛv,ɛv
ɛz,ɛz
ɛʒ,ɛʒ
ɛð,ɛð
ʊb,ʊb
ʊd,ʊd
ʊg,ʊg
ʊv,ʊv
ʊz,ʊz
ʊʒ,ʊʒ
ʊð,ʊð
ɔb,ɔb
ɔd,ɔd
ɔg,ɔg
ɔv,ɔv
ɔz,ɔz
ɔʒ,ɔʒ
ɔð,ɔð
pip,pib
pit,pid
pik,pig
pif,piv
pis,piz
piʃ,piʒ
piθ,pið
pep,peb
pet,ped
pek,peg
pef,pev
pes,pez
peʃ,peʒ
peθ,peð
pup,pub
put,pud
puk,pug
puf,puv
pus,puz
puʃ,puʒ
puθ,puð
pop,pob
pot,pod
pok,pog
pof,pov
pos,poz
poʃ,poʒ
poθ,poð
pɪp,pɪb
pɪt,pɪd
pɪk,pɪg
pɪf,pɪv
pɪs,pɪz
pɪʃ,pɪʒ
pɪθ,pɪð
pɛp,pɛb
pɛt,pɛd
pɛk,pɛg
pɛf,pɛv
pɛs,pɛz
pɛʃ,pɛʒ
pɛθ,pɛð
pʊp,pʊb
pʊt,pʊd
pʊk,pʊg
pʊf,pʊv
pʊs,pʊz
pʊʃ,pʊʒ
pʊθ,pʊð
pɔp,pɔb
pɔt,pɔd
pɔk,pɔg
pɔf,pɔv
pɔs,pɔz
pɔʃ,pɔʒ
pɔθ,pɔð
pib,pib
pid,pid
pig,pig
piv,piv
piz,piz
piʒ,piʒ
pið,pið
peb,peb
ped,ped
peg,peg
pev,pev
pez,pez
peʒ,peʒ
peð,peð
pub,pub
pud,pud
pug,pug
puv,puv
puz,puz
puʒ,puʒ
puð,puð
pob,pob
pod,pod
pog,pog
pov,pov
poz,poz
poʒ,poʒ
poð,poð
pɪb,pɪb
pɪd,pɪd
pɪg,pɪg
pɪv,pɪv
pɪz,pɪz
pɪʒ,pɪʒ
pɪð,pɪð
pɛb,pɛb
pɛd,pɛd
pɛg,pɛg
pɛv,pɛv
pɛz,pɛz
pɛʒ,pɛʒ
pɛð,pɛð
pʊb,pʊb
pʊd,pʊd
pʊg,pʊg
pʊv,pʊv
pʊz,pʊz
pʊʒ,pʊʒ
pʊð,pʊð
pɔb,pɔb
pɔd,pɔd
pɔg,pɔg
pɔv,pɔv
pɔz,pɔz
pɔʒ,pɔʒ
pɔð,pɔð
tip,tib
tit,tid
tik,tig
tif,tiv
tis,tiz
tiʃ,tiʒ
tiθ,tið
tep,teb
tet,ted
tek,teg
tef,tev
tes,tez
teʃ,teʒ
teθ,teð
tup,tub
tut,tud
tuk,tug
tuf,tuv
tus,tuz
tuʃ,tuʒ
tuθ,tuð
top,tob
tot,tod
tok,tog
tof,tov
tos,toz
toʃ,toʒ
toθ,toð
tɪp,tɪb
tɪt,tɪd
tɪk,tɪg
tɪf,tɪv
tɪs,tɪz
tɪʃ,tɪʒ
tɪθ,tɪð
tɛp,tɛb
tɛt,tɛd
tɛk,tɛg
tɛf,tɛv
tɛs,tɛz
tɛʃ,tɛʒ
tɛθ,tɛð
tʊp,tʊb
tʊt,tʊd
tʊk,tʊg
tʊf,tʊv
tʊs,tʊz
tʊʃ,tʊʒ
tʊθ,tʊð
tɔp,tɔb
tɔt,tɔd
tɔk,tɔg
tɔf,tɔv
tɔs,tɔz
tɔʃ,tɔʒ
tɔθ,tɔð
tib,tib
tid,tid
tig,tig
tiv,tiv
tiz,tiz
tiʒ,tiʒ
tið,tið
teb,teb
ted,ted
teg,teg
tev,tev
tez,tez
teʒ,teʒ
teð,teð
tub,tub
tud,tud
tug,tug
tuv,tuv
tuz,tuz
tuʒ,tuʒ
tuð,tuð
tob,tob
tod,tod
tog,tog
tov,tov
toz,toz
toʒ,toʒ
toð,toð
tɪb,tɪb
tɪd,tɪd
tɪg,tɪg
tɪv,tɪv
tɪz,tɪz
tɪʒ,tɪʒ
tɪð,tɪð
tɛb,tɛb
tɛd,tɛd
tɛg,tɛg
tɛv,tɛv
tɛz,tɛz
tɛʒ,tɛʒ
tɛð,tɛð
tʊb,tʊb
